Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,MOLDTKPAC,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total
26/06/15,,502.6053162,7.244356155,112.429184,59.02740479,,863.6264648,,,,205.0620728,,15.98927021,,,33.94431686,856.7802124,85.51483154,,34.08301926,,226.7963715,,376.7234802,"8,69,140"
03/07/15,,513.901062,7.179923534,115.133461,60.94814682,,878.7050171,,,,226.3861847,,16.06547546,,,36.27249908,828.7149048,89.35293579,,34.29471207,,241.9128418,,394.134491,"8,76,872"
10/07/15,,465.0975037,7.218920231,120.8872604,67.17881012,,886.0199585,,,,219.2781372,,17.02150726,,,33.70811081,827.9790039,95.25051117,,35.45903778,,256.2894897,,401.6807861,"8,82,063"
17/07/15,,496.6226501,7.663532734,123.2175522,68.53738403,,933.4263306,,,,251.4103851,,17.98446274,,,32.71272659,868.9976807,101.6629486,,42.2756424,,252.3192902,,441.1397095,"8,99,653"
24/07/15,,494.7407837,7.722815037,124.6559982,70.13017273,,922.8076782,,,,293.6691895,,18.92663956,,,29.35541725,876.930481,99.79070282,,43.43997574,,280.6780701,,456.0049438,"9,07,625"
31/07/15,,526.411499,8.381536484,126.0397186,67.36621094,,926.3237305,,,,286.3663635,,20.70707321,,,30.41827965,818.1635132,102.7863083,,40.98430252,,277.2996826,,444.6400452,"9,04,977"
07/08/15,,524.8648071,8.339702606,128.5263672,65.52841187,,930.3115845,,,,286.7558289,,20.52002335,,,36.39059448,839.5557251,97.21140289,,39.31227112,,277.8668518,,440.8893433,"9,04,699"
14/08/15,,519.2910767,8.081132889,132.9503632,64.1028595,,1051.641846,,,,299.8034973,,19.33537674,,,34.46730423,830.1136475,91.51264191,,38.27270508,,270.1483154,,437.4867249,"9,08,381"
21/08/15,,513.1858521,17.88791084,125.7216415,63.15247726,,1176.833374,,,,315.8695679,,18.13687706,,,35.27710342,795.6403809,85.05405426,,38.18785095,,272.8855286,,415.4866028,"9,11,869"
28/08/15,,483.5454407,17.39737129,120.401329,57.26015091,,1082.319702,,,,290.0664063,,16.92451859,,,31.37992859,750.741394,79.92515564,,40.11845779,,261.7393188,,380.0159302,"8,91,069"
04/09/15,,485.4273071,16.1506691,123.1193237,56.02466202,,1048.559692,,,,288.3238831,,16.14167976,,,31.29556465,727.5297241,76.45841217,,41.5823288,,245.5131683,,356.8970947,"8,81,158"
