Date,AFFLE,BAJFINANCE,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,SONACOMS,TATACHEM,NIFTY,Total
2015-01-01,,317.1209411621094,112.68901062011719,76.78193664550781,,796.1080932617188,,,30.478736877441406,,12.36542797088623,,,826.0103149414062,52.27812957763672,,,,,160.8718719482422,,1383864.1809763908
2015-01-02,,312.92559814453125,125.80500030517578,79.29937744140625,,797.9974975585938,,,30.44072151184082,,12.42933177947998,,,826.4457397460938,52.44911193847656,,5.669647693634033,,,161.908447265625,8395.4501953125,1390222.813806057
2015-01-05,,313.9539489746094,121.86882019042969,78.36698150634766,,791.1680297851562,,,30.63079261779785,,12.542391777038574,,,816.2404174804688,52.53459930419922,,5.761686325073242,,,161.5197296142578,8378.400390625,1387430.2689313889
2015-01-06,,311.7607421875,118.33598327636719,75.89617919921875,,762.3478393554688,,,29.429580688476562,,12.06802749633789,,,807.1473388671875,50.22632598876953,,5.52545166015625,,,156.44796752929688,8127.35009765625,1379797.6179008484
2015-01-07,,317.5122375488281,121.07603454589844,77.10826873779297,,752.5134887695312,,,29.17108917236328,,12.242534637451172,,,815.2244873046875,51.76517105102539,,5.700325965881348,,,159.35403442382812,8102.10009765625,1383384.245675087
2015-01-08,,317.97637939453125,133.5521697998047,77.06166076660156,,754.8809814453125,,,32.87355041503906,,12.063111305236816,,,818.6585083007812,51.978904724121094,,5.896677494049072,,,163.1671600341797,8234.599609375,1390728.670287609
2015-01-09,,313.1349182128906,135.9167022705078,76.50222778320312,,774.36767578125,,,32.43259811401367,,12.208123207092285,,,836.2157592773438,51.807918548583984,,5.675782680511475,,,163.51881408691406,8284.5,1393270.155409336
2015-01-12,,314.0904846191406,128.60067749023438,76.92180633544922,,777.6002197265625,,,32.272945404052734,,12.237616539001465,,,826.203857421875,52.1926383972168,,,,,162.722900390625,8323.0,1389843.4953217506
2015-01-13,,316.7887878417969,130.43663024902344,77.0150375366211,,783.6102294921875,,,31.923221588134766,,12.353137016296387,,,830.7503051757812,50.56829833984375,,5.681918621063232,,,165.42538452148438,8299.400390625,1391968.155676365
2015-01-14,,342.7025146484375,127.73834991455078,77.0150375366211,,774.6409301757812,,,31.4898738861084,,11.90089225769043,,,818.9003295898438,50.31181716918945,,5.675782680511475,,,164.0186004638672,8277.5498046875,1392369.525235653
2015-01-15,,348.52227783203125,123.45439910888672,77.34136199951172,,771.1806640625,,,31.558303833007812,,11.986919403076172,,,815.3697509765625,50.739280700683594,,5.648170471191406,,,164.6294403076172,8494.150390625,1391299.1559181213
2015-01-16,,357.0357971191406,125.9580078125,77.6677017211914,,779.3759765625,,,33.223262786865234,,12.584176063537598,,,809.4203491210938,50.440059661865234,,5.583743572235107,,,163.9260711669922,8513.7998046875,1394076.667198658
2015-01-19,,354.2465515136719,125.65202331542969,77.10826873779297,,779.3076171875,,,32.63786315917969,,12.584176063537598,,,782.6253051757812,50.867515563964844,,5.568403720855713,,,164.6664581298828,8550.7001953125,1392320.688724041
2015-01-20,,353.61859130859375,126.95943450927734,76.64208221435547,,771.0895385742188,,,32.45541000366211,,12.158967971801758,,,781.3194580078125,50.56829833984375,,5.675782680511475,,,164.55540466308594,8695.599609375,1391708.3647265434
2015-01-21,,346.75225830078125,126.95943450927734,75.70968627929688,,764.1007080078125,,,31.73316192626953,,12.262194633483887,,,774.6929931640625,47.78982162475586,,5.706462383270264,,,162.48226928710938,8729.5,1388146.6480545998
2015-01-22,,349.2594299316406,127.37671661376953,75.84954833984375,,754.9948120117188,,,31.725555419921875,,12.874200820922852,,,757.3292846679688,46.93490219116211,,5.767821788787842,,,163.37075805664062,8761.400390625,1387516.0516982079
2015-01-23,,351.1068115234375,125.17909240722656,75.70968627929688,,764.6016845703125,,,31.429054260253906,,12.856996536254883,,,753.6534423828125,47.57609176635742,,5.746346473693848,,,163.14862060546875,8835.599609375,1387359.6174154282
2015-01-27,,378.9179992675781,125.73545837402344,79.81218719482422,,768.9269409179688,,,31.543102264404297,,12.849623680114746,,,772.4197387695312,51.081241607666016,,5.767821788787842,,,162.9080352783203,8910.5,1394906.697069645
2015-01-28,,393.519775390625,129.8802490234375,76.96841430664062,,791.3274536132812,,,31.50507926940918,,12.318729400634766,,,786.4461669921875,51.508705139160156,,5.5346550941467285,,,163.29669189453125,8914.2998046875,1400330.3666462898
2015-01-29,,376.4107971191406,129.3239288330078,76.92180633544922,,803.7570190429688,,,32.158905029296875,,12.569429397583008,,,841.2943725585938,54.58639907836914,,5.752482891082764,,,166.46194458007812,8952.349609375,1403705.7398428917
2015-01-30,,368.0292053222656,127.54361724853516,76.92180633544922,,793.3307495117188,,,31.619121551513672,,11.954964637756348,,,817.594482421875,53.56050109863281,,5.599082946777344,,,169.0718994140625,8808.900390625,1399674.7561235428
2015-02-02,,378.00335693359375,123.95513916015625,79.34599304199219,,768.1073608398438,,,32.234928131103516,,11.930390357971191,,,781.5126342773438,55.99700927734375,,5.675782680511475,,,171.663330078125,8797.400390625,1398024.0653176308
2015-02-03,,380.2148742675781,119.97722625732422,79.29937744140625,,759.29736328125,,,35.093505859375,,12.286775588989258,,,768.7440185546875,55.48405838012695,,6.148252964019775,,,170.23800659179688,8756.5498046875,1395255.2815480232
