Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,MOLDTKPAC,NAUKRI,POLYCAB,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total
2015-01-02,,317.97930908203125,5.076800346374512,129.5093994140625,79.68700408935547,,827.1690673828125,,,,194.935546875,,17.516841888427734,,,20.120304107666016,838.380859375,,57.43114471435547,,39.12137985229492,,148.1315460205078,,397.6348876953125,840232.9743328094
2015-01-09,,318.1920166015625,5.553753852844238,139.9188690185547,76.87618255615234,,802.6754760742188,,,,207.69107055664062,,17.20509147644043,,,23.72756004333496,848.2920532226562,,56.72904968261719,,39.16371536254883,,181.2496795654297,,401.58990478515625,846840.2788658142
2015-01-16,,362.8018493652344,5.720314025878906,129.6669158935547,78.04734802246094,,807.8668212890625,,,,212.7543182373047,,17.735065460205078,,,23.42626190185547,821.1097412109375,,55.231258392333984,,38.52863311767578,,167.31686401367188,,402.5899658203125,844119.3903656006
2015-01-23,,356.7770690917969,5.58229398727417,128.86509704589844,76.07976531982422,,792.5523071289062,,,,201.26461791992188,,18.119556427001953,,,23.20028305053711,764.5372924804688,,52.09524154663086,,39.65061569213867,,168.19229125976562,,400.6806640625,839370.0735769272
2015-01-30,,373.9728088378906,5.781560897827148,131.2991943359375,77.29779815673828,,822.3317260742188,,,,202.48175048828125,,16.848312377929688,,,22.02855110168457,829.40185546875,,58.64810562133789,,38.63447570800781,,162.4835662841797,,415.2277526855469,848056.7847290039
2015-02-06,,372.5163269042969,7.180028915405273,120.50315856933594,77.34464263916016,,755.6702270507812,,,,191.52760314941406,,18.133411407470703,,,22.011812210083008,790.1494750976562,,59.49061584472656,,40.22219467163086,,155.93637084960938,,408.090576171875,839348.4131965637
2015-02-13,,386.9932556152344,7.6209635734558105,122.70819091796875,78.32843780517578,,781.1785888671875,,,,201.89755249023438,,19.470470428466797,,,25.02483558654785,796.8715209960938,,60.00548553466797,,35.03565216064453,,160.27651977539062,,422.6830749511719,845275.7623815536
2015-02-20,,386.2026062011719,8.032571792602539,123.87923431396484,73.64372253417969,,798.427978515625,,,,197.07769775390625,,18.448623657226562,,,26.73221778869629,803.1029052734375,,61.26924514770508,,35.56489181518555,,168.4882049560547,,423.5468444824219,847643.5542106628
2015-02-27,,380.3258361816406,7.91768741607666,129.94947814941406,69.94279479980469,,802.038330078125,,,,194.6434326171875,,18.732664108276367,,,25.225706100463867,801.091064453125,,59.443809509277344,,35.14149475097656,,174.5298614501953,,416.7279052734375,847474.7130813599
2015-03-06,,401.1834716796875,7.514803409576416,122.35447692871094,68.63106536865234,,837.8348999023438,,,,195.519775390625,,20.734785079956055,,,26.347217559814453,905.3060913085938,,60.9884147644043,,35.01448059082031,,171.262451171875,,423.7286682128906,854634.6179533005
2015-03-13,,378.5549011230469,6.990200996398926,120.88726043701172,65.07069396972656,,837.17431640625,,,,188.9959716796875,,20.2706241607666,,,34.86738204956055,831.560791015625,,63.609554290771484,,35.56489181518555,,165.4674072265625,,398.453125,844309.5623817444
2015-03-20,,370.2044372558594,6.7033586502075195,124.51215362548828,64.46168518066406,,852.7954711914062,,,,169.911376953125,,19.14832878112793,,,33.77935028076172,829.647216796875,,58.507686614990234,,32.81284713745117,,159.11749267578125,,385.7244567871094,839987.6147232056
2015-03-27,,365.0259094238281,6.527929782867432,118.0678939819336,60.80760192871094,,846.5186157226562,,,,167.9639434814453,,17.589582443237305,,,32.440223693847656,797.4112548828125,,54.575965881347656,,32.81284713745117,,162.5698699951172,,387.13372802734375,835323.5165586472
2015-04-03,,382.4943542480469,7.349569797515869,123.56277465820312,65.02384948730469,,850.4357299804688,,,,183.25111389160156,,18.538684844970703,,,33.611961364746094,822.72900390625,,62.34578323364258,,33.34208679199219,,162.69317626953125,,401.08978271484375,844434.7357110977
2015-04-10,,419.1236572265625,7.61928129196167,131.61807250976562,71.20765686035156,,915.3983154296875,,,,198.24612426757812,,18.268503189086914,,,40.407989501953125,787.1074829101562,,65.24777221679688,,33.87132263183594,,178.78369140625,,409.6361999511719,855812.4149827957
2015-04-17,,417.74114990234375,6.76831579208374,119.70773315429688,71.11397552490234,,892.013671875,,,,190.84597778320312,,18.095308303833008,,,42.7681999206543,831.7078857421875,,60.80118179321289,,33.892494201660156,,178.53709411621094,,402.726318359375,850979.4969682693
2015-04-24,,382.42041015625,6.568608283996582,118.64328002929688,63.57157516479492,,836.8438720703125,,,,182.37477111816406,,17.845909118652344,,,38.047794342041016,806.3901977539062,,58.320457458496094,,35.903602600097656,,166.8853302001953,,385.22442626953125,838704.6120853424
2015-05-01,,370.773193359375,6.476951599121094,121.03109741210938,64.32112884521484,,813.6243896484375,,,,178.38258361816406,,16.91758918762207,,,36.441200256347656,755.4602661132812,,56.495018005371094,,33.87132263183594,,179.7700958251953,,388.27020263671875,836176.8084201813
2015-05-08,,401.4285888671875,6.522464752197266,120.22557830810547,63.75897216796875,,812.7513427734375,,,,173.51405334472656,,17.014577865600586,,,38.92123794555664,716.3060913085938,,56.822662353515625,,33.87132263183594,,174.65316772460938,,395.22552490234375,836411.3169765472
2015-05-15,,412.9278564453125,6.649646759033203,121.0023422241211,62.54094696044922,,847.1085815429688,,,,181.79054260253906,,17.208555221557617,,,38.38136291503906,707.03271484375,,55.46528625488281,,29.34103012084961,,198.69650268554688,,403.5900573730469,841910.8767032623
