,Symbol,Trade Date,Trade Type,Quantity,Price,currPrice,PnL
259,BERGEPAINT,2023-09-28,buy,30,575.0,585.3499755859375,310.499267578125
101,HAPPSTMNDS,2023-09-28,buy,25,875.0,934.7000122070312,1492.5003051757812
141,DEEPAKNTR,2023-09-28,buy,8,2100.0,2306.550048828125,1652.400390625
326,RAJRATAN,2023-10-03,buy,20,765.0,731.7999877929688,-664.000244140625
113,PRINCEPIPE,2023-10-03,buy,20,696.0,705.3499755859375,186.99951171875
243,SONACOMS,2023-10-04,buy,25,577.0,553.0999755859375,-597.5006103515625
13,TATACHEM,2023-10-04,buy,12,1011.0,1030.1500244140625,229.80029296875
244,SONACOMS,2023-10-06,buy,28,569.0,553.0999755859375,-445.20068359375
192,AFFLE,2023-10-09,buy,10,1070.0,1212.199951171875,1421.99951171875
102,HAPPSTMNDS,2023-10-09,buy,20,840.0,934.7000122070312,1894.000244140625
245,SONACOMS,2023-10-09,buy,30,551.0,553.0999755859375,62.999267578125
193,AFFLE,2023-10-09,buy,5,1070.0,1212.199951171875,710.999755859375
142,DEEPAKNTR,2023-10-10,buy,8,2065.0,2306.550048828125,1932.400390625
353,FINEORG,2023-10-13,buy,3,4888.0,4466.60009765625,-1264.19970703125
337,NEOGEN,2023-10-18,buy,10,1670.0,1505.6500244140625,-1643.499755859375
216,DMART,2023-10-19,buy,5,3760.0,4045.64990234375,1428.24951171875
246,SONACOMS,2023-10-19,buy,16,552.0,553.0999755859375,17.599609375
247,SONACOMS,2023-10-19,buy,9,552.0,553.0999755859375,9.8997802734375
278,BAJFINANCE,2023-10-20,buy,3,7750.0,7517.60009765625,-697.19970703125
354,FINEORG,2023-10-25,buy,3,4555.0,4466.60009765625,-265.19970703125
338,NEOGEN,2023-10-25,buy,8,1550.0,1505.6500244140625,-354.7998046875
114,PRINCEPIPE,2023-10-25,buy,25,640.0,705.3499755859375,1633.7493896484375
279,BAJFINANCE,2023-10-26,buy,3,7474.0,7517.60009765625,130.80029296875
355,FINEORG,2023-11-01,buy,4,4330.0,4466.60009765625,546.400390625
327,RAJRATAN,2023-11-22,buy,5,740.0,731.7999877929688,-41.00006103515625
356,FINEORG,2023-11-22,buy,3,4240.0,4466.60009765625,679.80029296875
260,BERGEPAINT,2023-11-22,buy,20,570.0,585.3499755859375,306.99951171875
328,RAJRATAN,2023-11-22,buy,11,740.0,731.7999877929688,-90.20013427734375
357,FINEORG,2023-11-22,buy,1,4240.0,4466.60009765625,226.60009765625
339,NEOGEN,2023-11-28,buy,8,1510.0,1505.6500244140625,-34.7998046875
