Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total,,
03/07/15,,513.901062,7.127279758,115.1334686,62.36786652,,878.7049561,,,,226.3862,,16.06547546,,,828.7149658,89.35293579,,5.589699268,,241.9128571,,394.1344604,"9,66,178 ",,
10/07/15,,465.0974426,7.165989399,120.8872604,68.74365997,,886.0199585,,,,219.2781219,,17.02150726,,,827.9790039,95.2505188,,5.779474735,,256.2895203,,401.6807861,"9,71,109 ",,
17/07/15,,496.6226807,7.607343674,123.2175369,70.13388062,,933.4263916,,,,251.4103851,,17.98446274,,,868.9975586,101.6629562,,6.890512943,,252.3192749,,441.1397095,"9,88,828 ",,
24/07/15,,494.7408142,7.666192055,124.6559906,71.76378632,,922.8076782,,,,293.6691589,,18.92663956,,,876.930542,99.79071045,,7.08028698,,280.6781006,,456.0049744,"9,97,425 ",,
31/07/15,,526.411499,8.320083618,126.0397263,68.9354248,,926.3237305,,,,286.3663635,,20.70707512,,,818.1635132,102.7863083,,6.680036068,,277.2996826,,444.6400452,"9,95,964 ",,
07/08/15,,524.8648682,8.278554916,128.5263824,67.05482483,,930.3115845,,,,286.7558289,,20.52002716,,,839.5557251,97.21141052,,7.317017555,,277.8668823,,440.8893433,"9,95,975 ",,
14/08/15,,519.2911377,8.021882057,132.9503479,65.59604645,,1051.641846,,,,299.8034668,,19.33537674,,,830.1136475,91.51264954,,7.123529434,,270.1483154,,437.4867554,"10,00,027 ",,
21/08/15,,513.1858521,17.75675392,125.7216568,64.62353516,,1176.833496,,,,315.8695679,,18.13687515,,,795.6403809,85.05404663,,7.107734203,,272.8855591,,415.4865723,"10,03,037 ",,
28/08/15,,483.5454407,17.26980782,120.4013367,58.59395981,,1082.319702,,,,290.0664368,,16.92451859,,,750.741394,79.92516327,,7.467069149,,261.7393494,,380.0159302,"9,79,777 ",,
04/09/15,,485.4273071,16.03225517,123.1193237,57.32969284,,1048.559692,,,,288.3238831,,16.14167976,,,727.5297852,76.45841217,,7.739532948,,245.5131531,,356.8970642,"9,68,710 ",,
11/09/15,,481.8024292,16.59354019,123.1193237,55.33603287,,1036.519775,,,,279.3691406,,18.01940918,,,752.1676025,78.07305908,,7.344658375,,264.3286133,,360.6725464,"9,73,509 ",,
18/09/15,,476.2718201,16.19704437,128.6131287,55.96817017,,1076.781494,,,,296.8850403,,18.80217361,,,782.3133545,77.45569611,,7.403890133,,263.1695557,,368.6429443,"9,80,293 ",,
25/09/15,,465.0190125,17.39470673,129.8275757,62.53263474,,1079.454102,,,,324.9302368,,18.44637299,,,783.3459473,80.40006256,,7.431530952,,264.8500061,,353.7276001,"9,79,820 ",,
02/10/15,,488.2860107,16.9977169,125.8372955,60.44173431,,1083.644165,,,,345.5950623,,18.94449615,,,787.6245117,81.63478851,,7.897482872,,262.6017456,,355.9648743,"9,81,044 ",,
09/10/15,,477.866394,17.95450783,128.0059204,61.70599747,,1055.422485,,,,337.7227783,,21.16628265,,,786.4934082,84.38918304,,7.668454647,,271.4465332,,378.8972778,"9,87,147 ",,
16/10/15,,477.540741,17.73816872,130.0299377,64.429039,,1029.801392,,,,345.1030273,,21.2453537,,,781.0346069,85.62392426,,9.200567245,,265.0723572,,388.2659912,"9,87,908 ",,
23/10/15,,504.9927979,18.09055328,127.6878586,62.77576828,,1044.875488,,,,343.9222107,,21.55371284,,,775.3300781,86.57371521,,10.26672554,,265.3687744,,387.5202332,"9,90,289 ",,
30/10/15,,499.3903809,18.47862053,128.2950745,63.26202774,,1107.675903,,,,338.2147522,,20.46258545,,,738.9387817,82.53710175,,10.26672554,,258.8957825,,380.6218567,"9,88,733 ",,
06/11/15,,506.9560547,18.43253136,130.2612915,62.9216423,,1082.295654,,,,341.5604858,,23.51457977,,,696.2529297,79.54524231,,12.32007313,,248.6674652,,381.2744141,"9,85,987 ",,
13/11/15,,506.4293213,18.35223961,127.0806427,61.41424561,,1103.341553,,,,348.3503723,,24.22618294,,,740.5617065,80.77997589,,13.34674549,,241.7250366,,390.5499573,"9,89,421 ",,
20/11/15,,521.4985352,18.62953949,128.4107361,64.08866882,,1103.82312,,,,343.1349487,,24.63733292,,,802.4268799,79.68771362,,13.34674549,,246.2215424,,401.4567566,"9,97,111 ",,
27/11/15,,534.2070313,18.9559021,126.8493347,68.90260315,,1101.511475,,,,367.2439575,,26.59819984,,,800.9967041,82.20466614,,13.34674549,,247.9015656,,396.7024841,"9,99,022 ",,
04/12/15,,522.2550659,18.19091988,135.061142,65.93643188,,1088.171143,,,,382.6933594,,27.12004089,,,843.7376099,81.2073822,,14.99731827,,242.1450348,,390.5965271,"9,99,648 ",,
11/12/15,,528.7578125,17.41998291,127.4565353,61.85187531,,1084.510864,,,,370.9833069,,25.32521629,,,829.8024902,78.02557373,,15.40009117,,238.5873566,,362.5835876,"9,88,335 ",,
18/12/15,,555.8554688,18.3671093,138.8489685,67.78421021,,1106.134888,,,,385.3502808,,26.51913071,,,832.4122314,84.57915497,,14.92624378,,240.8356018,,364.9141235,"9,99,506 ",,
25/12/15,,562.9520264,19.57889557,145.4415436,74.98081207,,1124.628174,,,,423.6294556,,27.87117958,,,824.0905762,86.00385284,,14.50767612,,240.6132507,,379.3167725,"10,08,576 ",,
01/01/16,,582.9533691,20.46282959,151.0221252,71.72289276,,1117.500366,,,,412.706604,,29.86367416,,,863.1384277,90.27792358,,15.58963108,,250.4216003,,381.0879517,"10,17,023 ",,
08/01/16,,604.7359009,19.29490662,146.2800751,70.94487762,,1087.015381,,,,392.533783,,27.64979553,,,827.5374756,90.42038727,,15.78706646,,237.4508514,,372.6514587,"10,08,123 ",,
15/01/16,,571.987854,18.75294876,147.9571228,63.40789413,,1038.036865,,,,362.5205383,,24.63733292,,,782.7285156,78.83289337,,16.97958565,,218.9706421,,348.693634,"9,88,765 ",,
22/01/16,,557.6990967,17.78277969,145.9909363,60.73348999,,1041.793091,,,,348.0551453,,24.13920975,,,777.3613281,76.93331146,,16.58471298,,224.7765961,,323.0111694,"9,81,131 ",,
