Scrip,Market Cap,Current Price,High / Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,[Sales][Mar2011],[Sales][Mar2015],[Sales][Mar2016],[Sales][Mar2017],[Sales][Mar2018],[Sales][Mar2019],[Sales][Mar2020],[Sales][Mar2021],[Sales][Mar2022],[Sales][Mar2023],[Sales][TTM],[Interest][Mar2015],[Interest][Mar2016],[Interest][Mar2017],[Interest][Mar2018],[Interest][Mar2019],[Interest][Mar2020],[Interest][Mar2021],[Interest][Mar2022],[Interest][Mar2023],[Interest][TTM],[Expenses][Mar2015],[Expenses][Mar2016],[Expenses][Mar2017],[Expenses][Mar2018],[Expenses][Mar2019],[Expenses][Mar2020],[Expenses][Mar2021],[Expenses][Mar2022],[Expenses][Mar2023],[Expenses][TTM],[OperatingProfit][Mar2015],[OperatingProfit][Mar2016],[OperatingProfit][Mar2017],[OperatingProfit][Mar2018],[OperatingProfit][Mar2019],[OperatingProfit][Mar2020],[OperatingProfit][Mar2021],[OperatingProfit][Mar2022],[OperatingProfit][Mar2023],[OperatingProfit][TTM],[OPM][Mar2015],[OPM][Mar2016],[OPM][Mar2017],[OPM][Mar2018],[OPM][Mar2019],[OPM][Mar2020],[OPM][Mar2021],[OPM][Mar2022],[OPM][Mar2023],[OPM][TTM],[OtherIncome][Mar2015],[OtherIncome][Mar2016],[OtherIncome][Mar2017],[OtherIncome][Mar2018],[OtherIncome][Mar2019],[OtherIncome][Mar2020],[OtherIncome][Mar2021],[OtherIncome][Mar2022],[OtherIncome][Mar2023],[OtherIncome][TTM],[Depreciation][Mar2015],[Depreciation][Mar2016],[Depreciation][Mar2017],[Depreciation][Mar2018],[Depreciation][Mar2019],[Depreciation][Mar2020],[Depreciation][Mar2021],[Depreciation][Mar2022],[Depreciation][Mar2023],[Depreciation][TTM],[Profitbeforetax][Mar2015],[Profitbeforetax][Mar2016],[Profitbeforetax][Mar2017],[Profitbeforetax][Mar2018],[Profitbeforetax][Mar2019],[Profitbeforetax][Mar2020],[Profitbeforetax][Mar2021],[Profitbeforetax][Mar2022],[Profitbeforetax][Mar2023],[Profitbeforetax][TTM],[Tax][Mar2015],[Tax][Mar2016],[Tax][Mar2017],[Tax][Mar2018],[Tax][Mar2019],[Tax][Mar2020],[Tax][Mar2021],[Tax][Mar2022],[Tax][Mar2023],[Tax][TTM],[NetProfit][Mar2015],[NetProfit][Mar2016],[NetProfit][Mar2017],[NetProfit][Mar2018],[NetProfit][Mar2019],[NetProfit][Mar2020],[NetProfit][Mar2021],[NetProfit][Mar2022],[NetProfit][Mar2023],[NetProfit][TTM],[EPSinRs][Mar2015],[EPSinRs][Mar2016],[EPSinRs][Mar2017],[EPSinRs][Mar2018],[EPSinRs][Mar2019],[EPSinRs][Mar2020],[EPSinRs][Mar2021],[EPSinRs][Mar2022],[EPSinRs][Mar2023],[EPSinRs][TTM],[DividendPayout][Mar2015],[DividendPayout][Mar2016],[DividendPayout][Mar2017],[DividendPayout][Mar2018],[DividendPayout][Mar2019],[DividendPayout][Mar2020],[DividendPayout][Mar2021],[DividendPayout][Mar2022],[DividendPayout][Mar2023],[DividendPayout][TTM],[Sales][Qtr][Sep2020],[Sales][Qtr][Dec2020],[Sales][Qtr][Mar2021],[Sales][Qtr][Jun2021],[Sales][Qtr][Sep2021],[Sales][Qtr][Dec2021],[Sales][Qtr][Mar2022],[Sales][Qtr][Jun2022],[Sales][Qtr][Sep2022],[Sales][Qtr][Dec2022],[Sales][Qtr][Mar2023],[Sales][Qtr][Jun2023],[Sales][Qtr][Sep2023],[Interest][Qtr][Sep2020],[Interest][Qtr][Dec2020],[Interest][Qtr][Mar2021],[Interest][Qtr][Jun2021],[Interest][Qtr][Sep2021],[Interest][Qtr][Dec2021],[Interest][Qtr][Mar2022],[Interest][Qtr][Jun2022],[Interest][Qtr][Sep2022],[Interest][Qtr][Dec2022],[Interest][Qtr][Mar2023],[Interest][Qtr][Jun2023],[Interest][Qtr][Sep2023],[Expenses][Qtr][Sep2020],[Expenses][Qtr][Dec2020],[Expenses][Qtr][Mar2021],[Expenses][Qtr][Jun2021],[Expenses][Qtr][Sep2021],[Expenses][Qtr][Dec2021],[Expenses][Qtr][Mar2022],[Expenses][Qtr][Jun2022],[Expenses][Qtr][Sep2022],[Expenses][Qtr][Dec2022],[Expenses][Qtr][Mar2023],[Expenses][Qtr][Jun2023],[Expenses][Qtr][Sep2023],[OperatingProfit][Qtr][Sep2020],[OperatingProfit][Qtr][Dec2020],[OperatingProfit][Qtr][Mar2021],[OperatingProfit][Qtr][Jun2021],[OperatingProfit][Qtr][Sep2021],[OperatingProfit][Qtr][Dec2021],[OperatingProfit][Qtr][Mar2022],[OperatingProfit][Qtr][Jun2022],[OperatingProfit][Qtr][Sep2022],[OperatingProfit][Qtr][Dec2022],[OperatingProfit][Qtr][Mar2023],[OperatingProfit][Qtr][Jun2023],[OperatingProfit][Qtr][Sep2023],[OPM][Qtr][Sep2020],[OPM][Qtr][Dec2020],[OPM][Qtr][Mar2021],[OPM][Qtr][Jun2021],[OPM][Qtr][Sep2021],[OPM][Qtr][Dec2021],[OPM][Qtr][Mar2022],[OPM][Qtr][Jun2022],[OPM][Qtr][Sep2022],[OPM][Qtr][Dec2022],[OPM][Qtr][Mar2023],[OPM][Qtr][Jun2023],[OPM][Qtr][Sep2023],[OtherIncome][Qtr][Sep2020],[OtherIncome][Qtr][Dec2020],[OtherIncome][Qtr][Mar2021],[OtherIncome][Qtr][Jun2021],[OtherIncome][Qtr][Sep2021],[OtherIncome][Qtr][Dec2021],[OtherIncome][Qtr][Mar2022],[OtherIncome][Qtr][Jun2022],[OtherIncome][Qtr][Sep2022],[OtherIncome][Qtr][Dec2022],[OtherIncome][Qtr][Mar2023],[OtherIncome][Qtr][Jun2023],[OtherIncome][Qtr][Sep2023],[Depreciation][Qtr][Sep2020],[Depreciation][Qtr][Dec2020],[Depreciation][Qtr][Mar2021],[Depreciation][Qtr][Jun2021],[Depreciation][Qtr][Sep2021],[Depreciation][Qtr][Dec2021],[Depreciation][Qtr][Mar2022],[Depreciation][Qtr][Jun2022],[Depreciation][Qtr][Sep2022],[Depreciation][Qtr][Dec2022],[Depreciation][Qtr][Mar2023],[Depreciation][Qtr][Jun2023],[Depreciation][Qtr][Sep2023],[Profitbeforetax][Qtr][Sep2020],[Profitbeforetax][Qtr][Dec2020],[Profitbeforetax][Qtr][Mar2021],[Profitbeforetax][Qtr][Jun2021],[Profitbeforetax][Qtr][Sep2021],[Profitbeforetax][Qtr][Dec2021],[Profitbeforetax][Qtr][Mar2022],[Profitbeforetax][Qtr][Jun2022],[Profitbeforetax][Qtr][Sep2022],[Profitbeforetax][Qtr][Dec2022],[Profitbeforetax][Qtr][Mar2023],[Profitbeforetax][Qtr][Jun2023],[Profitbeforetax][Qtr][Sep2023],[Tax][Qtr][Sep2020],[Tax][Qtr][Dec2020],[Tax][Qtr][Mar2021],[Tax][Qtr][Jun2021],[Tax][Qtr][Sep2021],[Tax][Qtr][Dec2021],[Tax][Qtr][Mar2022],[Tax][Qtr][Jun2022],[Tax][Qtr][Sep2022],[Tax][Qtr][Dec2022],[Tax][Qtr][Mar2023],[Tax][Qtr][Jun2023],[Tax][Qtr][Sep2023],[NetProfit][Qtr][Sep2020],[NetProfit][Qtr][Dec2020],[NetProfit][Qtr][Mar2021],[NetProfit][Qtr][Jun2021],[NetProfit][Qtr][Sep2021],[NetProfit][Qtr][Dec2021],[NetProfit][Qtr][Mar2022],[NetProfit][Qtr][Jun2022],[NetProfit][Qtr][Sep2022],[NetProfit][Qtr][Dec2022],[NetProfit][Qtr][Mar2023],[NetProfit][Qtr][Jun2023],[NetProfit][Qtr][Sep2023],[EPSinRs][Qtr][Sep2020],[EPSinRs][Qtr][Dec2020],[EPSinRs][Qtr][Mar2021],[EPSinRs][Qtr][Jun2021],[EPSinRs][Qtr][Sep2021],[EPSinRs][Qtr][Dec2021],[EPSinRs][Qtr][Mar2022],[EPSinRs][Qtr][Jun2022],[EPSinRs][Qtr][Sep2022],[EPSinRs][Qtr][Dec2022],[EPSinRs][Qtr][Mar2023],[EPSinRs][Qtr][Jun2023],[EPSinRs][Qtr][Sep2023],[GrossNPA][Qtr][Sep2020],[GrossNPA][Qtr][Dec2020],[GrossNPA][Qtr][Mar2021],[GrossNPA][Qtr][Jun2021],[GrossNPA][Qtr][Sep2021],[GrossNPA][Qtr][Dec2021],[GrossNPA][Qtr][Mar2022],[GrossNPA][Qtr][Jun2022],[GrossNPA][Qtr][Sep2022],[GrossNPA][Qtr][Dec2022],[GrossNPA][Qtr][Mar2023],[GrossNPA][Qtr][Jun2023],[GrossNPA][Qtr][Sep2023],[NetNPA][Qtr][Sep2020],[NetNPA][Qtr][Dec2020],[NetNPA][Qtr][Mar2021],[NetNPA][Qtr][Jun2021],[NetNPA][Qtr][Sep2021],[NetNPA][Qtr][Dec2021],[NetNPA][Qtr][Mar2022],[NetNPA][Qtr][Jun2022],[NetNPA][Qtr][Sep2022],[NetNPA][Qtr][Dec2022],[NetNPA][Qtr][Mar2023],[NetNPA][Qtr][Jun2023],[NetNPA][Qtr][Sep2023],[RawPDF][Qtr][Sep2020],[RawPDF][Qtr][Dec2020],[RawPDF][Qtr][Mar2021],[RawPDF][Qtr][Jun2021],[RawPDF][Qtr][Sep2021],[RawPDF][Qtr][Dec2021],[RawPDF][Qtr][Mar2022],[RawPDF][Qtr][Jun2022],[RawPDF][Qtr][Sep2022],[RawPDF][Qtr][Dec2022],[RawPDF][Qtr][Mar2023],[RawPDF][Qtr][Jun2023],[RawPDF][Qtr][Sep2023],[Compounded Sales Growth][10 Years]%,[Compounded Sales Growth][5 Years]%,[Compounded Sales Growth][3 Years]%,[Compounded Sales Growth][TTM]%,[Compounded Profit Growth][10 Years]%,[Compounded Profit Growth][5 Years]%,[Compounded Profit Growth][3 Years]%,[Compounded Profit Growth][TTM]%,[Stock Price CAGR][10 Years]%,[Stock Price CAGR][5 Years]%,[Stock Price CAGR][3 Years]%,[Stock Price CAGR][1 Year]%,[Return on Equity][10 Years]%,[Return on Equity][5 Years]%,[Return on Equity][3 Years]%,[Return on Equity][Last Year]%,[ROE][Mar2015],[ROE][Mar2016],[ROE][Mar2017],[ROE][Mar2018],[ROE][Mar2019],[ROE][Mar2020],[ROE][Mar2021],[ROE][Mar2022],[ROE][Mar2023],[Promoters][Mar2021],[Promoters][Jun2021],[Promoters][Sep2021],[Promoters][Dec2021],[Promoters][Mar2022],[Promoters][Jun2022],[Promoters][Sep2022],[Promoters][Dec2022],[Promoters][Mar2023],[Promoters][Jun2023],[Promoters][Sep2023],[Promoters][Nov2023],[FIIs][Mar2021],[FIIs][Jun2021],[FIIs][Sep2021],[FIIs][Dec2021],[FIIs][Mar2022],[FIIs][Jun2022],[FIIs][Sep2022],[FIIs][Dec2022],[FIIs][Mar2023],[FIIs][Jun2023],[FIIs][Sep2023],[FIIs][Nov2023],[DIIs][Mar2021],[DIIs][Jun2021],[DIIs][Sep2021],[DIIs][Dec2021],[DIIs][Mar2022],[DIIs][Jun2022],[DIIs][Sep2022],[DIIs][Dec2022],[DIIs][Mar2023],[DIIs][Jun2023],[DIIs][Sep2023],[DIIs][Nov2023],[Government][Mar2021],[Government][Jun2021],[Government][Sep2021],[Government][Dec2021],[Government][Mar2022],[Government][Jun2022],[Government][Sep2022],[Government][Dec2022],[Government][Mar2023],[Government][Jun2023],[Government][Sep2023],[Government][Nov2023],[Public][Mar2021],[Public][Jun2021],[Public][Sep2021],[Public][Dec2021],[Public][Mar2022],[Public][Jun2022],[Public][Sep2022],[Public][Dec2022],[Public][Mar2023],[Public][Jun2023],[Public][Sep2023],[Public][Nov2023],[Others][Mar2021],[Others][Jun2021],[Others][Sep2021],[Others][Dec2021],[Others][Mar2022],[Others][Jun2022],[Others][Sep2022],[Others][Dec2022],[Others][Mar2023],[Others][Jun2023],[Others][Sep2023],[Others][Nov2023],[NoofShareholders][Mar2021],[NoofShareholders][Jun2021],[NoofShareholders][Sep2021],[NoofShareholders][Dec2021],[NoofShareholders][Mar2022],[NoofShareholders][Jun2022],[NoofShareholders][Sep2022],[NoofShareholders][Dec2022],[NoofShareholders][Mar2023],[NoofShareholders][Jun2023],[NoofShareholders][Sep2023],[NoofShareholders][Nov2023],[Sales][Mar2012],[Sales][Mar2013],[Sales][Mar2014],[Expenses][Mar2012],[Expenses][Mar2013],[Expenses][Mar2014],[OperatingProfit][Mar2012],[OperatingProfit][Mar2013],[OperatingProfit][Mar2014],[OPM][Mar2012],[OPM][Mar2013],[OPM][Mar2014],[OtherIncome][Mar2012],[OtherIncome][Mar2013],[OtherIncome][Mar2014],[Interest][Mar2012],[Interest][Mar2013],[Interest][Mar2014],[Depreciation][Mar2012],[Depreciation][Mar2013],[Depreciation][Mar2014],[Profitbeforetax][Mar2012],[Profitbeforetax][Mar2013],[Profitbeforetax][Mar2014],[Tax][Mar2012],[Tax][Mar2013],[Tax][Mar2014],[NetProfit][Mar2012],[NetProfit][Mar2013],[NetProfit][Mar2014],[EPSinRs][Mar2012],[EPSinRs][Mar2013],[EPSinRs][Mar2014],[DividendPayout][Mar2012],[DividendPayout][Mar2013],[DividendPayout][Mar2014],[DebtorDays][Mar2012],[DebtorDays][Mar2013],[DebtorDays][Mar2014],[DebtorDays][Mar2015],[DebtorDays][Mar2016],[DebtorDays][Mar2017],[DebtorDays][Mar2018],[DebtorDays][Mar2019],[DebtorDays][Mar2020],[DebtorDays][Mar2021],[DebtorDays][Mar2022],[DebtorDays][Mar2023],[InventoryDays][Mar2012],[InventoryDays][Mar2013],[InventoryDays][Mar2014],[InventoryDays][Mar2015],[InventoryDays][Mar2016],[InventoryDays][Mar2017],[InventoryDays][Mar2018],[InventoryDays][Mar2019],[InventoryDays][Mar2020],[InventoryDays][Mar2021],[InventoryDays][Mar2022],[InventoryDays][Mar2023],[DaysPayable][Mar2012],[DaysPayable][Mar2013],[DaysPayable][Mar2014],[DaysPayable][Mar2015],[DaysPayable][Mar2016],[DaysPayable][Mar2017],[DaysPayable][Mar2018],[DaysPayable][Mar2019],[DaysPayable][Mar2020],[DaysPayable][Mar2021],[DaysPayable][Mar2022],[DaysPayable][Mar2023],[CashConversionCycle][Mar2012],[CashConversionCycle][Mar2013],[CashConversionCycle][Mar2014],[CashConversionCycle][Mar2015],[CashConversionCycle][Mar2016],[CashConversionCycle][Mar2017],[CashConversionCycle][Mar2018],[CashConversionCycle][Mar2019],[CashConversionCycle][Mar2020],[CashConversionCycle][Mar2021],[CashConversionCycle][Mar2022],[CashConversionCycle][Mar2023],[WorkingCapitalDays][Mar2012],[WorkingCapitalDays][Mar2013],[WorkingCapitalDays][Mar2014],[WorkingCapitalDays][Mar2015],[WorkingCapitalDays][Mar2016],[WorkingCapitalDays][Mar2017],[WorkingCapitalDays][Mar2018],[WorkingCapitalDays][Mar2019],[WorkingCapitalDays][Mar2020],[WorkingCapitalDays][Mar2021],[WorkingCapitalDays][Mar2022],[WorkingCapitalDays][Mar2023],[ROCE][Mar2012],[ROCE][Mar2013],[ROCE][Mar2014],[ROCE][Mar2015],[ROCE][Mar2016],[ROCE][Mar2017],[ROCE][Mar2018],[ROCE][Mar2019],[ROCE][Mar2020],[ROCE][Mar2021],[ROCE][Mar2022],[ROCE][Mar2023],[Promoters][Dec2020],[FIIs][Dec2020],[DIIs][Dec2020],[Government][Dec2020],[Public][Dec2020],[NoofShareholders][Dec2020],[Others][Dec2020],[Sales][Qtr][Mar2019],[Sales][Qtr][Jun2019],[Sales][Qtr][Sep2019],[Sales][Qtr][Dec2019],[Sales][Qtr][Mar2020],[Sales][Qtr][Jun2020],[Expenses][Qtr][Mar2019],[Expenses][Qtr][Jun2019],[Expenses][Qtr][Sep2019],[Expenses][Qtr][Dec2019],[Expenses][Qtr][Mar2020],[Expenses][Qtr][Jun2020],[OperatingProfit][Qtr][Mar2019],[OperatingProfit][Qtr][Jun2019],[OperatingProfit][Qtr][Sep2019],[OperatingProfit][Qtr][Dec2019],[OperatingProfit][Qtr][Mar2020],[OperatingProfit][Qtr][Jun2020],[OPM][Qtr][Mar2019],[OPM][Qtr][Jun2019],[OPM][Qtr][Sep2019],[OPM][Qtr][Dec2019],[OPM][Qtr][Mar2020],[OPM][Qtr][Jun2020],[OtherIncome][Qtr][Mar2019],[OtherIncome][Qtr][Jun2019],[OtherIncome][Qtr][Sep2019],[OtherIncome][Qtr][Dec2019],[OtherIncome][Qtr][Mar2020],[OtherIncome][Qtr][Jun2020],[Interest][Qtr][Mar2019],[Interest][Qtr][Jun2019],[Interest][Qtr][Sep2019],[Interest][Qtr][Dec2019],[Interest][Qtr][Mar2020],[Interest][Qtr][Jun2020],[Depreciation][Qtr][Mar2019],[Depreciation][Qtr][Jun2019],[Depreciation][Qtr][Sep2019],[Depreciation][Qtr][Dec2019],[Depreciation][Qtr][Mar2020],[Depreciation][Qtr][Jun2020],[Profitbeforetax][Qtr][Mar2019],[Profitbeforetax][Qtr][Jun2019],[Profitbeforetax][Qtr][Sep2019],[Profitbeforetax][Qtr][Dec2019],[Profitbeforetax][Qtr][Mar2020],[Profitbeforetax][Qtr][Jun2020],[Tax][Qtr][Mar2019],[Tax][Qtr][Jun2019],[Tax][Qtr][Sep2019],[Tax][Qtr][Dec2019],[Tax][Qtr][Mar2020],[Tax][Qtr][Jun2020],[NetProfit][Qtr][Mar2019],[NetProfit][Qtr][Jun2019],[NetProfit][Qtr][Sep2019],[NetProfit][Qtr][Dec2019],[NetProfit][Qtr][Mar2020],[NetProfit][Qtr][Jun2020],[EPSinRs][Qtr][Mar2019],[EPSinRs][Qtr][Jun2019],[EPSinRs][Qtr][Sep2019],[EPSinRs][Qtr][Dec2019],[EPSinRs][Qtr][Mar2020],[EPSinRs][Qtr][Jun2020],[RawPDF][Qtr][Mar2019],[RawPDF][Qtr][Jun2019],[RawPDF][Qtr][Sep2019],[RawPDF][Qtr][Dec2019],[RawPDF][Qtr][Mar2020],[RawPDF][Qtr][Jun2020]
BAJFINANCE,476392,7706,8192,36.3,988,0.39,11.8,23.5,2,9999,5392,7299,9970,12746,18487,26374,26673,31641,41398,48023,2274,2959,3853,4696,6723,9608,9519,9855,12701,15582,1752,2354,3250,4115,5454,9159,10839,11880,12680,14308,1367,1986,2867,3935,6310,7608,6314,9906,16018,18133,0.25,0.27,0.29,0.31,0.34,0.29,0.24,0.31,0.39,0.38,26,35,22,10,13,9,3,-17,-4,16,36,56,71,102,144,295,325,385,485,568,1357,1965,2817,3843,6179,7322,5992,9504,15528,17582,0.34,0.35,0.35,0.35,0.35,0.28,0.26,0.26,0.26,,898,1279,1836,2496,3995,5264,4420,7028,11508,13118,17.9,23.74,33.4,43.19,69.12,87.48,73.35,116.09,190.07,216.59,0.1,0.1,0.11,0.09,0.09,0.11,0.14,0.17,0.16,,6513,6656,6851,6742,7731,8537,8626,9284,9970,10784,11363,12498,13378,2358,2363,2196,2254,2398,2535,2568,2645,2972,3351,3592,4103,4537,2785,2662,2747,3035,3236,3040,2691,3026,3129,3305,3381,3694,3929,1370,1632,1908,1454,2098,2962,3367,3613,3869,4129,4390,4702,4913,0.21,0.25,0.28,0.22,0.27,0.35,0.39,0.39,0.39,0.38,0.39,0.38,0.37,7,2,4,1,1,2,3,2,4,2,5,6,4,72,80,90,89,95,97,104,111,121,119,134,156,159,1305,1555,1823,1366,2004,2868,3265,3503,3752,4012,4261,4551,4758,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.25,965,1146,1347,1002,1481,2125,2420,2596,2781,2973,3158,3437,3551,16.01,19.02,22.35,16.61,24.54,35.21,39.96,42.88,45.93,49.11,52.16,56.72,58.6,0.0103,0.0055,0.0179,0.0296,0.0245,0.0173,0.016,0.0125,0.0117,0.0114,0.0094,0.0087,0.0091,0.0037,0.0019,0.0075,0.0146,0.011,0.0078,0.0068,0.0051,0.0044,0.0041,0.0034,0.0031,0.0031,,,,,,,,,,,,,,,0.27,0.16,0.32,,0.36,0.3,0.32,0.48,0.25,0.14,0.17,,0.19,0.19,0.23,,0.21,0.22,0.2,0.22,0.2,0.13,0.17,0.23,0.5612,0.5603,0.5603,0.5603,0.5586,0.5586,0.5586,0.5591,0.5591,0.5587,0.5587,0.5478,0.2406,0.2403,0.2364,0.2285,0.2141,0.1998,0.2049,0.1987,0.1916,0.2009,0.2041,0.2131,0.0908,0.0933,0.0973,0.1011,0.1122,0.1203,0.1209,0.1237,0.1292,0.1283,0.1305,0.1365,0,0,0,0,0,0,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.1057,0.104,0.1042,0.1091,0.1115,0.1184,0.1126,0.116,0.1175,0.1099,0.105,0.1013,0.0017,0.0021,0.0017,0.001,0.0036,0.0029,0.0022,0.0018,0.0017,0.0013,0.001,0.0009,464394,488763,525257,636931,718638,868271,767722,816292,890706,784883,726583,726997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMART,253549,3898,4206,109,268,0,20.1,16,10,9999,6439,8584,11898,15033,20005,24870,24143,30976,42840,46653,72,91,122,60,47,69,42,54,67,63,5983,7919,10929,13680,18371,22742,22398,28474,39201,42876,456,664,969,1353,1633,2128,1745,2502,3639,3777,0.07,0.08,0.08,0.09,0.08,0.09,0.07,0.08,0.08,0.08,20,17,28,88,48,60,194,114,128,140,82,98,128,159,212,374,414,498,639,669,323,492,747,1222,1422,1745,1483,2064,3060,3186,0.34,0.35,0.36,0.34,0.37,0.25,0.26,0.28,0.22,,212,320,479,806,902,1301,1099,1492,2378,2332,3.77,5.7,7.67,12.92,14.46,20.09,16.97,23.04,36.69,35.9,0,0,0,0,0,0,0,0,0,,5306,7542,7412,5183,7789,9218,8786,10038,10638,11569,10594,11865,12624,9,11,12,11,12,14,17,17,18,17,16,15,16,4977,6853,6799,4959,7120,8351,8047,9030,9746,10604,9823,10830,11619,330,689,613,224,669,866,739,1008,892,965,772,1035,1005,0.06,0.09,0.08,0.04,0.09,0.09,0.08,0.1,0.08,0.08,0.07,0.09,0.08,52,45,48,31,28,26,33,29,36,32,33,39,37,101,114,105,107,116,128,146,145,162,168,164,162,174,272,609,544,137,568,750,609,875,748,812,625,897,852,0.27,0.27,0.24,0.31,0.26,0.26,0.3,0.27,0.08,0.27,0.26,0.27,0.27,199,447,414,95,418,553,427,643,686,590,460,659,623,3.07,6.9,6.39,1.47,6.45,8.53,6.59,9.93,10.59,9.1,7.1,10.12,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.23,0.2,0.21,0.38,0.25,0.22,0.01,,0.2,0.1,-0.01,0.14,0.14,0.13,0.16,,,,,,,,,,0.7499,0.7499,0.7499,0.7499,0.7499,0.7499,0.7498,0.7498,0.7493,0.7464,0.7464,,0.1017,0.1004,0.0995,0.0944,0.0883,0.0859,0.0872,0.0863,0.0817,0.0817,0.0767,,0.0658,0.0671,0.0678,0.0674,0.0677,0.0688,0.0704,0.0711,0.0749,0.0766,0.0825,,0,0,0,0,0,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,,0.0826,0.0826,0.0829,0.0883,0.0942,0.0952,0.0923,0.0924,0.0937,0.0949,0.0941,,,,,,,,,,,,,,306995,345515,403133,594561,742493,793537,747199,763438,835850,813245,815562,,2209,3341,4686,2071,3126,4345,138,215,341,0.06,0.06,0.07,14,15,16,26,43,56,37,46,57,89,141,245,0.32,0.34,0.34,60,94,161,1.13,1.73,2.95,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,38,35,35,36,34,34,34,35,34,40,38,33,12,12,11,8,10,9,9,10,8,10,8,8,26,25,24,28,24,26,25,26,26,30,31,26,19,19,20,22,11,9,16,17,23,24,24,22,,0.15,0.21,0.21,0.24,0.21,0.24,0.26,0.2,0.13,0.16,0.2,0.7499,0.1009,0.0671,0,0.0821,275485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEPAKNTR,33915,2487,2521,42.5,318,0.3,29.7,22.7,2,9999,1327,1373,1371,1651,2700,4230,4360,6802,7972,7499,38,40,37,47,87,118,77,36,27,15,1187,1204,1231,1447,2278,3194,3108,5196,6680,6324,140,169,139,204,421,1035,1252,1607,1292,1175,0.11,0.12,0.1,0.12,0.16,0.24,0.29,0.24,0.16,0.16,1,0,80,7,11,29,20,42,46,75,36,40,48,53,78,140,153,178,166,160,67,89,135,111,268,806,1042,1434,1146,1075,0.21,0.29,0.28,0.29,0.35,0.24,0.26,0.26,0.26,,53,63,96,79,174,611,776,1067,852,798,5.06,5.39,7.37,5.79,12.73,44.8,56.88,78.2,62.47,58.51,0.2,0.22,0.16,0.22,0.16,0.1,0.1,0.09,0.12,,987,1235,1463,1526,1681,1722,1872,2058,1962,1991,1961,1768,1778,20,16,14,11,9,7,7,9,6,6,4,2,3,712,900,1009,1075,1295,1370,1462,1702,1691,1676,1613,1559,1476,276,335,455,452,387,352,410,356,271,315,348,210,302,0.28,0.27,0.31,0.3,0.23,0.2,0.22,0.17,0.14,0.16,0.18,0.12,0.17,4,5,6,8,8,26,4,10,12,13,13,32,17,31,34,56,44,44,45,45,42,42,41,41,38,39,229,290,390,405,342,325,362,315,235,281,315,202,277,0.26,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,170,217,290,303,254,242,267,235,174,209,234,150,205,12.48,15.88,21.27,22.19,18.65,17.78,19.59,17.2,12.79,15.33,17.15,10.99,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.24,-0.02,,0.59,0.11,-0.13,0.55,0.62,0.34,0.27,,0.32,0.32,0.23,,,,,,,,,,0.4569,0.4569,0.4569,0.4569,0.4572,0.4572,0.4571,0.4571,0.4913,0.4913,0.4913,,0.1187,0.1143,0.1085,0.0884,0.0876,0.0907,0.0845,0.0872,0.0772,0.0809,0.0647,,0.1164,0.1041,0.1061,0.1074,0.1003,0.1072,0.1201,0.1375,0.1506,0.1561,0.1796,,,,,,,,,,,,,,0.308,0.3247,0.3285,0.3473,0.355,0.345,0.3382,0.3181,0.281,0.2716,0.2645,,,,,,,,,,,,,,190915,306098,374962,536074,639690,670102,691728,640749,649046,612869,572562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,83,96,91,78,53,63,61,60,,,,47,54,75,118,94,63,64,53,62,,,,48,59,95,176,106,57,72,46,46,,,,85,79,76,32,66,59,56,67,76,,,,60,43,51,44,70,55,62,63,71,,,,,0.14,0.08,0.1,0.17,0.38,0.4,0.44,0.3,0.4569,0.1326,0.1051,,0.3053,152783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
