Date,AFFLE,BAJFINANCE,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,SONACOMS,TATACHEM,Total
2015-01-02,,312.9256286621094,125.80498504638672,79.29938507080078,,797.9974975585938,,,189.73178100585938,,12.42933177947998,,,826.4456787109375,52.44910430908203,,5.669648170471191,,,161.90846252441406,1290854.2408409119
2015-01-09,,313.1349182128906,135.9167022705078,76.50222778320312,,774.3677368164062,,,202.1468048095703,,12.208123207092285,,,836.2158813476562,51.80792236328125,,5.675783157348633,,,163.5188446044922,1295157.9947338104
2015-01-16,,357.0357971191406,125.95801544189453,77.6677017211914,,779.3759765625,,,207.07489013671875,,12.584176063537598,,,809.4204711914062,50.4400520324707,,5.583743572235107,,,163.92605590820312,1294551.275984764
2015-01-23,,351.1068420410156,125.17912292480469,75.7096939086914,,764.6015014648438,,,195.89187622070312,,12.856996536254883,,,753.6533813476562,47.576087951660156,,5.746345520019531,,,163.1486358642578,1288529.5285072327
2015-01-30,,368.0292663574219,127.54361724853516,76.92179107666016,,793.330810546875,,,197.0765380859375,,11.95496654510498,,,817.5945434570312,53.56050109863281,,5.599082946777344,,,169.0718994140625,1299539.8973751068
2015-02-06,,366.595947265625,117.05635833740234,76.96841430664062,,729.0200805664062,,,186.414794921875,,12.866829872131348,,,778.9010620117188,54.32992935180664,,5.829180717468262,,,166.16578674316406,1287473.4465446472
2015-02-13,,380.8427429199219,119.1983413696289,77.94742584228516,,753.6287841796875,,,196.50790405273438,,13.815553665161133,,,785.5272827148438,54.800132751464844,,5.077524185180664,,,172.10755920410156,1294330.6732711792
2015-02-20,,380.0646667480469,120.33585357666016,73.2854995727539,,770.2699584960938,,,191.8167266845703,,13.090492248535156,,,791.669921875,55.95425796508789,,5.154224872589111,,,172.45924377441406,1295416.0880231857
2015-02-27,,374.2812805175781,126.23248291015625,69.6025619506836,,773.7529296875,,,189.44744873046875,,13.292035102844238,,,789.6867065429688,54.28717803955078,,5.037639617919922,,,169.68272399902344,1296333.8789463043
2015-03-06,,394.8074645996094,118.85472106933594,68.29724884033203,,808.2872314453125,,,190.30039978027344,,14.71267032623291,,,892.4181518554688,55.697784423828125,,5.123544216156006,,,172.53329467773438,1303624.677638054
2015-03-13,,372.53857421875,117.42947387695312,64.75416564941406,,807.64990234375,,,183.9507293701172,,14.383320808410645,,,819.7227783203125,58.091548919677734,,5.154224872589111,,,162.24163818359375,1293678.117978096
2015-03-20,,364.32073974609375,120.95068359375,64.14811706542969,,822.7200927734375,,,165.3756103515625,,13.586978912353516,,,817.83642578125,53.43227005004883,,4.75538444519043,,,157.05877685546875,1292273.8712348938
2015-03-27,,359.2245178222656,114.69075012207031,60.511817932128906,,816.6646728515625,,,163.48016357421875,,12.48094654083252,,,786.0592041015625,49.841617584228516,,4.75538444519043,,,157.63259887695312,1284456.4281368256
2015-04-03,,376.41534423828125,120.0284652709961,64.70755004882812,,820.4436645507812,,,178.35923767089844,,13.154397964477539,,,811.0167236328125,56.937416076660156,,4.663345813751221,,,163.31521606445312,1295193.398024559
2015-04-10,,412.4624938964844,127.85336303710938,70.86128997802734,,883.1151123046875,,,192.9540252685547,,12.962682723999023,,,775.9021606445312,59.5876579284668,,4.908785343170166,,,166.79513549804688,1309046.3875455856
2015-04-17,,411.1018981933594,116.28369903564453,70.7680435180664,,860.5552978515625,,,185.7513885498047,,12.839792251586914,,,819.8678588867188,55.52680587768555,,4.911852836608887,,,163.98159790039062,1301527.5870342255
2015-04-24,,376.3425598144531,115.24967193603516,63.262351989746094,,807.3310546875,,,177.50633239746094,,12.662826538085938,,,794.9105224609375,53.26128005981445,,5.203311920166016,,,156.8551788330078,1288284.5854797363
2015-05-01,,364.8804626464844,117.56920623779297,64.00826263427734,,784.9305419921875,,,173.62069702148438,,12.00412368774414,,,744.7055053710938,51.59419250488281,,4.908785343170166,,,158.0953369140625,1283788.8526067734
2015-05-08,,395.04864501953125,116.7867202758789,63.44882583618164,,784.0882568359375,,,168.8821258544922,,12.072942733764648,,,706.1087646484375,51.89341354370117,,,,,160.9274139404297,1286154.9451503754
2015-05-15,,406.3651123046875,117.54126739501953,62.236717224121094,,817.2337646484375,,,176.93768310546875,,12.21058177947998,,,696.9674682617188,50.65378189086914,,4.252235412597656,,,164.33328247070312,1289678.4697170258
2015-05-22,,408.986083984375,114.32746124267578,62.469818115234375,,840.6815185546875,,,173.99978637695312,,11.36999797821045,,,808.9852294921875,50.82476806640625,,5.071387767791748,,,160.96441650390625,1294420.4577970505
2015-05-29,,383.9278564453125,118.21195983886719,62.236717224121094,,828.2520141601562,,,186.13046264648438,,11.094718933105469,,,790.3638305664062,60.186100006103516,,5.338304042816162,,,160.09445190429688,1293670.5168466568
2015-06-05,,405.59619140625,112.81836700439453,61.07124328613281,,817.6890869140625,,,189.44744873046875,,10.63755989074707,,,765.6001586914062,73.95025634765625,,5.2155842781066895,,,157.16983032226562,1293727.8937978745
2015-06-12,,424.352294921875,101.05306243896484,59.81252670288086,,802.4593505859375,,,184.4246368408203,,9.575769424438477,,,792.927490234375,76.5149917602539,,4.810609817504883,,,151.98699951171875,1288592.0771446228
2015-06-19,,469.2588195800781,103.065185546875,58.74027633666992,,830.8699951171875,,,188.21542358398438,,11.035731315612793,,,810.581298828125,69.93215942382812,,5.2155842781066895,,,154.63397216796875,1297843.0013551712
