Date,AFFLE,BAJFINANCE,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,SONACOMS,TATACHEM,NIFTY,Total
2015-01-01,,34.846500396728516,120.56547546386719,82.3499984741211,,874.2750244140625,,,40.09000015258789,,25.155000686645508,,,170.77999877929688,61.150001525878906,,,,,434.54998779296875,,1447111.227142334
2015-01-02,,34.385501861572266,134.59820556640625,85.05000305175781,,876.3499755859375,,,40.040000915527344,,25.28499984741211,,,170.8699951171875,61.349998474121094,,7.920000076293945,,,437.3500061035156,8395.4501953125,1455004.2500858307
2015-01-05,,34.49850082397461,130.38690185546875,84.05000305175781,,868.8499755859375,,,40.290000915527344,,25.514999389648438,,,168.75999450683594,61.45000076293945,,8.04857063293457,,,436.29998779296875,8378.400390625,1452239.7006092072
2015-01-06,,34.25749969482422,126.60713958740234,81.4000015258789,,837.2000122070312,,,38.709999084472656,,24.549999237060547,,,166.8800048828125,58.75,,7.718571186065674,,,422.6000061035156,8127.35009765625,1441868.2482762337
2015-01-07,,34.88949966430664,129.5386962890625,82.69999694824219,,826.4000244140625,,,38.369998931884766,,24.905000686645508,,,168.5500030517578,60.54999923706055,,7.962855815887451,,,430.45001220703125,8102.10009765625,1446113.0384192467
2015-01-08,,34.94049835205078,142.88690185546875,82.6500015258789,,829.0,,,43.2400016784668,,24.540000915527344,,,169.25999450683594,60.79999923706055,,8.237141609191895,,,440.75,8234.599609375,1455527.9867372513
2015-01-09,,34.40850067138672,145.4166717529297,82.05000305175781,,850.4000244140625,,,42.65999984741211,,24.834999084472656,,,172.88999938964844,60.599998474121094,,7.9285712242126465,,,441.70001220703125,8284.5,1458363.997804165
2015-01-12,,34.51350021362305,137.5892791748047,82.5,,853.9500122070312,,,42.45000076293945,,24.895000457763672,,,170.82000732421875,61.04999923706055,,,,,439.54998779296875,8323.0,1454683.3027653694
2015-01-13,,34.810001373291016,139.55357360839844,82.5999984741211,,860.5499877929688,,,41.9900016784668,,25.1299991607666,,,171.75999450683594,59.150001525878906,,7.9371418952941895,,,446.8500061035156,8299.400390625,1457684.932287693
2015-01-14,,37.657501220703125,136.6666717529297,82.5999984741211,,850.7000122070312,,,41.41999816894531,,24.209999084472656,,,169.30999755859375,58.849998474121094,,7.9285712242126465,,,443.04998779296875,8277.5498046875,1454131.7627921104
2015-01-15,,38.297000885009766,132.0833282470703,82.94999694824219,,846.9000244140625,,,41.5099983215332,,24.385000228881836,,,168.5800018310547,59.349998474121094,,7.889998912811279,,,444.70001220703125,8494.150390625,1452708.3999342918
2015-01-16,,39.23249816894531,134.76190185546875,83.30000305175781,,855.9000244140625,,,43.70000076293945,,25.600000381469727,,,167.35000610351562,59.0,,7.800000190734863,,,442.79998779296875,8513.7998046875,1454896.5397634506
2015-01-19,,38.92599868774414,134.4345245361328,82.69999694824219,,855.8250122070312,,,42.93000030517578,,25.600000381469727,,,161.80999755859375,59.5,,7.778571128845215,,,444.79998779296875,8550.7001953125,1454949.4694375992
2015-01-20,,38.856998443603516,135.8333282470703,82.19999694824219,,846.7999877929688,,,42.689998626708984,,24.735000610351562,,,161.5399932861328,59.150001525878906,,7.9285712242126465,,,444.5,8695.599609375,1454082.259068966
2015-01-21,,38.102500915527344,135.8333282470703,81.19999694824219,,839.125,,,41.7400016784668,,24.94499969482422,,,160.1699981689453,55.900001525878906,,7.971427917480469,,,438.8999938964844,8729.5,1450477.1701164246
2015-01-22,,38.37799835205078,136.27975463867188,81.3499984741211,,829.125,,,41.72999954223633,,26.190000534057617,,,156.5800018310547,54.900001525878906,,8.05714225769043,,,441.29998779296875,8761.400390625,1451045.0885047913
2015-01-23,,38.58100128173828,133.92857360839844,81.19999694824219,,839.6749877929688,,,41.34000015258789,,26.155000686645508,,,155.82000732421875,55.650001525878906,,8.027141571044922,,,440.70001220703125,8835.599609375,1450709.39620018
2015-01-27,,41.637001037597656,134.5238037109375,85.5999984741211,,844.4249877929688,,,41.4900016784668,,26.139999389648438,,,159.6999969482422,59.75,,8.05714225769043,,,440.04998779296875,8910.5,1454198.9414920807
2015-01-28,,43.24150085449219,138.9583282470703,82.55000305175781,,869.0250244140625,,,41.439998626708984,,25.059999465942383,,,162.60000610351562,60.25,,7.731428146362305,,,441.1000061035156,8914.2998046875,1457226.8403015137
2015-01-29,,41.36149978637695,138.36309814453125,82.5,,882.6749877929688,,,42.29999923706055,,25.56999969482422,,,173.94000244140625,63.849998474121094,,8.035714149475098,,,449.6499938964844,8952.349609375,1462532.8375177383
2015-01-30,,40.44049835205078,136.4583282470703,82.5,,871.2249755859375,,,41.59000015258789,,24.31999969482422,,,169.0399932861328,62.650001525878906,,7.821427822113037,,,456.70001220703125,8808.900390625,1461129.2465949059
2015-02-02,,41.5364990234375,132.61904907226562,85.0999984741211,,843.5250244140625,,,42.400001525878906,,24.270000457763672,,,161.5800018310547,65.5,,7.9285712242126465,,,463.70001220703125,8797.400390625,1460896.4765486717
2015-02-03,,41.77949905395508,128.36309814453125,85.05000305175781,,833.8499755859375,,,46.15999984741211,,24.9950008392334,,,158.94000244140625,64.9000015258789,,8.588570594787598,,,459.8500061035156,8756.5498046875,1457879.1717710495
