Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,BORORENEW,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,MOLDTKPAC,NAUKRI,NEOGEN,POLYCAB,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total
2020-01-01,323.3500061035156,4212.55078125,32.99860763549805,426.3271179199219,-16.101722717285156,368.5910339355469,,1791.1044921875,756.3478393554688,1828.5,1892.9053955078125,1196.263916015625,,74.00375366210938,90.82683563232422,73.54273223876953,44.7971305847168,2551.516845703125,359.24713134765625,980.9989624023438,106.29669189453125,155.38389587402344,308.9386291503906,,612.1519165039062,,651.0892333984375,1644307.811920166
2020-01-02,317.2699890136719,4230.32470703125,34.004058837890625,421.8342590332031,-16.56723976135254,377.9237060546875,,1796.863525390625,781.7388916015625,1824.199951171875,1893.3040771484375,1212.862060546875,,74.9969253540039,88.78522491455078,74.2294921875,44.43587112426758,2520.06396484375,360.79132080078125,965.5914306640625,110.9957046508789,155.03506469726562,303.97735595703125,,619.3642578125,,651.8162841796875,1644057.1680698395
2020-01-03,312.6499938964844,4174.76123046875,33.29529571533203,420.0206298828125,-16.494827270507812,379.34814453125,,1808.23388671875,789.2403564453125,1843.550048828125,1887.523193359375,1224.525634765625,,78.4801254272461,91.32479095458984,75.54328918457031,44.25523376464844,2553.109375,364.92572021484375,969.6408081054688,110.055908203125,151.34732055664062,301.1494140625,,625.929931640625,,649.87744140625,1644691.4081192017
2020-01-06,305.20001220703125,3981.283203125,31.960187911987305,404.1513671875,-16.11206817626953,361.2231750488281,,1809.858154296875,791.5277099609375,1789.9000244140625,1873.8682861328125,1201.39794921875,,77.12921142578125,87.39096069335938,75.59304809570312,44.93260955810547,2507.373291015625,360.2433776855469,948.7516479492188,104.7633285522461,149.65292358398438,305.5649719238281,,622.1497192382812,,639.359619140625,1616233.7422676086
2020-01-07,312.0799865722656,3990.444091796875,31.762393951416016,407.4900817871094,-16.137929916381836,368.7384033203125,,1814.7313232421875,845.196533203125,1815.75,1926.1956787109375,1218.1455078125,,79.19558715820312,86.04647827148438,76.82722473144531,45.022926330566406,2526.782470703125,359.8946838378906,947.86279296875,109.51181030273438,153.3406982421875,308.09521484375,,628.01904296875,,645.66064453125,1631268.2363643646
2020-01-08,306.0899963378906,4032.565185546875,31.48218536376953,408.3556823730469,-15.84310245513916,372.8152770996094,,1805.9202880859375,826.5678100585938,1829.050048828125,1907.258056640625,1229.2110595703125,,85.14996337890625,85.79750061035156,77.26515197753906,45.022926330566406,2541.76220703125,371.3017272949219,955.8135375976562,108.42361450195312,152.69284057617188,311.8161926269531,,624.1890869140625,,644.2550048828125,1635033.198067665
2020-01-09,316.17999267578125,4104.1611328125,31.943708419799805,419.1962585449219,-16.82586097717285,382.83563232421875,,1814.2882080078125,832.2113647460938,1880.550048828125,1934.7174072265625,1233.39794921875,,85.86543273925781,86.94279479980469,78.43961334228516,44.25523376464844,2546.78857421875,381.7623291015625,959.1221923828125,111.49034118652344,161.6132049560547,309.5835876464844,,627.1734619140625,,654.7728881835938,1655764.9337596893
2020-01-10,312.6000061035156,4126.61572265625,32.026119232177734,422.122802734375,-17.136205673217773,387.4037170410156,,1837.32421875,836.2866821289062,1876.949951171875,1935.564697265625,1216.8994140625,,85.59713745117188,86.6440200805664,79.13632202148438,46.06156921386719,2538.278564453125,380.66644287109375,1016.9500122070312,110.45161437988281,165.001953125,309.732421875,,632.6448974609375,,668.5382080078125,1664586.1312084198
2020-01-13,311.67999267578125,4147.57666015625,32.30632781982422,419.5672302246094,-17.89137840270996,383.62152099609375,,1849.7774658203125,837.3255615234375,1914.6500244140625,2024.7703857421875,1259.26708984375,,89.36275482177734,93.01783752441406,80.73875427246094,44.30038833618164,2526.13525390625,384.50201416015625,1055.8641357421875,114.50760650634766,168.8890380859375,313.8006896972656,,639.459228515625,,683.1275024414062,1682784.5468883514
2020-01-14,311.1300048828125,4175.7568359375,32.932674407958984,437.0440368652344,-17.472412109375,382.4917907714844,,1844.7076416015625,827.6365966796875,1930.75,2057.8115234375,1283.5911865234375,,88.63317108154297,97.39984130859375,80.46006774902344,44.48102569580078,2534.14794921875,386.7435607910156,1034.77734375,115.00224304199219,171.0319366455078,327.04730224609375,,637.8676147460938,,704.1146850585938,1698349.3372421265
2020-01-15,309.17999267578125,4188.4033203125,34.21833419799805,448.1731262207031,-17.043102264404297,383.22857666015625,,1837.32421875,825.3192138671875,1933.550048828125,2048.990478515625,1285.983642578125,,88.21424102783203,102.37937927246094,81.1866455078125,44.164913177490234,2506.1787109375,383.05743408203125,1069.69140625,119.84964752197266,169.63656616210938,321.54022216796875,,643.6871948242188,,707.9437866210938,1703159.1354789734
2020-01-16,308.8299865722656,4202.443359375,34.79523468017578,451.5118713378906,-17.079309463500977,377.6781005859375,,1869.663330078125,826.737548828125,1946.050048828125,2037.976806640625,1296.949462890625,,88.20011901855469,102.97692108154297,80.16148376464844,47.642112731933594,2565.700439453125,380.3675537109375,1097.740966796875,124.54866027832031,173.573486328125,319.2084655761719,,662.3894653320312,,714.4871215820312,1715001.1235294342
