id,SecurityName,Result Date
532407,MOSCHIP,25-Jan-23
532440,MPSLTD,25-Jan-23
532439,OLECTRA,25-Jan-23
500368,PATANJALI,25-Jan-23
513613,PRESHAMET,25-Jan-23
535719,QUEST,25-Jan-23
532687,REPRO,25-Jan-23
531869,SACHEMT,25-Jan-23
539199,SGFIN,25-Jan-23
522034,SHANTIGEAR,25-Jan-23
543341,SHARPLINE,25-Jan-23
543686,SIRCA,25-Jan-23
541540,SOLARA,25-Jan-23
532725,SOLARINDS,25-Jan-23
514454,SOUTLAT,25-Jan-23
517168,SUBROS,25-Jan-23
520056,SUNCLAYLTD,25-Jan-23
500407,SWARAJENG,25-Jan-23
530585,SWASTIKA,25-Jan-23
500570,TATAMOTORS,25-Jan-23
570001,TATAMTRDVR,25-Jan-23
513010,TATASTLLP,25-Jan-23
539658,TEAMLEASE,25-Jan-23
500412,TIRUMALCHM,25-Jan-23
500420,TORNTPHARM,25-Jan-23
538569,TRIVENIENT,25-Jan-23
511742,UGROCAP,25-Jan-23
531444,VARDHMAN,25-Jan-23
542655,VIKASLIFE,25-Jan-23
507880,VIPIND,25-Jan-23
509966,VSTIND,25-Jan-23
502986,VTL,25-Jan-23
505525,ZPARICIN,25-Jan-23
504988,ZWELCAST,25-Jan-23
524348,AARTIDRUGS,27-Jan-23
543374,ABSLAMC,27-Jan-23
530881,ABVL,27-Jan-23
500187,AGI,27-Jan-23
532683,AIAENG,27-Jan-23
531878,ANJANIFIN,27-Jan-23
543275,ANURAS,27-Jan-23
526847,ASHSI,27-Jan-23
500034,BAJFINANCE,27-Jan-23
511501,BHARAT,27-Jan-23
531175,BLSINFOTE,27-Jan-23
539230,CHEMIESYNT,27-Jan-23
543441,CMSINFO,27-Jan-23
508571,COCHMAL,27-Jan-23
507833,COMPUPN,27-Jan-23
590031,DENORA,27-Jan-23
512099,EY,27-Jan-23
533333,FCL,27-Jan-23
539730,FREDUN,27-Jan-23
531685,FRONTFN,27-Jan-23
526073,GALXBRG,27-Jan-23
543322,GLS,27-Jan-23
500163,GODFRYPHLP,27-Jan-23
517372,GUJINTRX,27-Jan-23
509675,HIL,27-Jan-23
539149,ICSL,27-Jan-23
526115,KARANWO,27-Jan-23
539384,KRISHNACAP,27-Jan-23
500235,KSL,27-Jan-23
531027,LIBORD,27-Jan-23
539682,LUCENT,27-Jan-23
514418,MANORG,27-Jan-23
531319,MARUTISE,27-Jan-23
509196,MMRUBBR-B,27-Jan-23
543214,NDRAUTO,27-Jan-23
539016,NEIL,27-Jan-23
514414,OXFORDIN,27-Jan-23
532742,PAUSHAKLTD,27-Jan-23
532460,PONNIERODE,27-Jan-23
514354,PREMIERPOL,27-Jan-23
532369,RAMCOIND,27-Jan-23
540175,REGENCY,27-Jan-23
543208,REGIS,27-Jan-23
505509,RESPONIND,27-Jan-23
519230,RICHIRICH,27-Jan-23
538520,SBL,27-Jan-23
502180,SHREDIGCEM,27-Jan-23
541890,SPACEINCUBA,27-Jan-23
526071,STELLANT,27-Jan-23
532374,STLTECH,27-Jan-23
531499,SYBLY,27-Jan-23
532390,TAJGVK,27-Jan-23
502281,TRIVENIGQ,27-Jan-23
538706,ULTRACAB,27-Jan-23
500295,VEDL,27-Jan-23
524394,VIMTALABS,27-Jan-23
530401,VINYOFL,27-Jan-23
501370,WALCHPF,27-Jan-23
533520,YAARI,27-Jan-23
511601,YASHMGM,27-Jan-23
514266,ZENIFIB,27-Jan-23
532039,ZENOTECH,27-Jan-23
512587,ZODJRDMKJ,27-Jan-23
542285,AXITA,28-Jan-23
500049,BEL,28-Jan-23
531719,BHAGCHEM,28-Jan-23
534804,CARERATING,28-Jan-23
532902,CCCL,28-Jan-23
531595,CGCL,28-Jan-23
531210,COLINZ,28-Jan-23
543428,DATAPATTNS,28-Jan-23
507910,FIBERWEB,28-Jan-23
543663,FIVESTAR,28-Jan-23
524226,GAEL,28-Jan-23
532425,GENUSPRIME,28-Jan-23
543266,HERANBA,28-Jan-23
504176,HIGHENE,28-Jan-23
543411,HITECH,28-Jan-23
500233,KAJARIACER,28-Jan-23
500250,LGBBROSLTD,28-Jan-23
531221,MAYURFL,28-Jan-23
531727,MENNPIS,28-Jan-23
532555,NTPC,28-Jan-23
514460,OSWAYRN,28-Jan-23
531768,POLYMED,28-Jan-23
531887,RAHME,28-Jan-23
511630,SAMBHAAV,28-Jan-23
526885,SARLAPOLY,28-Jan-23
543218,SBGLP,28-Jan-23
502450,SESHAPAPER,28-Jan-23
503811,SIYSIL,28-Jan-23
501110,SUNRINV,28-Jan-23
531203,TRADEWELL,28-Jan-23
531051,VINTAGES,28-Jan-23
516030,YASHPAKKA,28-Jan-23
511756,ABIRAFN,30-Jan-23
519183,ADFFOODS,30-Jan-23
539196,AEL,30-Jan-23
513349,AJMERA,30-Jan-23
524634,ALUFLUOR,30-Jan-23
512344,ARAVALIS,30-Jan-23
541865,ASRL,30-Jan-23
533138,ASTEC,30-Jan-23
532978,BAJAJFINSV,30-Jan-23
500490,BAJAJHLDNG,30-Jan-23
524687,BASANTGL,30-Jan-23
500547,BPCL,30-Jan-23
542867,CSBBANK,30-Jan-23
532783,DAAWAT,30-Jan-23
531278,ELIXIR,30-Jan-23
532737,EMKAY,30-Jan-23
500086,EXIDEIND,30-Jan-23
531486,FILME,30-Jan-23
524013,HINFLUR,30-Jan-23
533047,IMFA,30-Jan-23
517370,INCAP,30-Jan-23
532706,INOXLEISUR,30-Jan-23
506522,JLMORI,30-Jan-23
506530,KEMP,30-Jan-23
523594,KUNSTOFF,30-Jan-23
500510,LT,30-Jan-23
530011,MANGCHEFER,30-Jan-23
543237,MAZDOCK,30-Jan-23
500277,MIDINDIA,30-Jan-23
500109,MRPL,30-Jan-23
540767,NAM-INDIA,30-Jan-23
531212,NLFL,30-Jan-23
511644,OMEGAIN,30-Jan-23
521080,PASARI,30-Jan-23
509084,PHOTON,30-Jan-23
532626,PONDYOXIDE,30-Jan-23
523289,RAMAVISION,30-Jan-23
532955,RECLTD,30-Jan-23
515043,SAINTGOBAIN,30-Jan-23
507984,SERIND,30-Jan-23
524546,SHABCHM,30-Jan-23
531201,SHILCTECH,30-Jan-23
503229,SIMPLXREA,30-Jan-23
524667,SOTL,30-Jan-23
533110,SPSL,30-Jan-23
514248,SRECR,30-Jan-23
513262,SSWL,30-Jan-23
540738,STL,30-Jan-23
531003,SWRNASE,30-Jan-23
532349,TCI,30-Jan-23
532755,TECHM,30-Jan-23
521064,TRIDENT,30-Jan-23
538597,TTIENT,30-Jan-23
533156,VASCONEQ,30-Jan-23
531015,VENMAX,30-Jan-23
526953,VENUSREM,30-Jan-23
534392,VSSL,30-Jan-23
514378,YARNSYN,30-Jan-23
501386,ZSWASTSA,30-Jan-23
530133,AMCOIND,31-Jan-23
502330,ANDHRAPAP,31-Jan-23
532259,APARINDS,31-Jan-23
505010,AUTOAXLES,31-Jan-23
500042,BASF,31-Jan-23
500067,BLUESTARCO,31-Jan-23
513375,CARBORUNIV,31-Jan-23
500040,CENTURYTEX,31-Jan-23
506365,CHEMOPH,31-Jan-23
511243,CHOLAFIN,31-Jan-23
534758,CIGNITI,31-Jan-23
533278,COALINDIA,31-Jan-23
500147,COCKERILL,31-Jan-23
531067,CONTILI,31-Jan-23
532180,DHANBANK,31-Jan-23
500620,GESHIP,31-Jan-23
500171,GHCL,31-Jan-23
540124,GNA,31-Jan-23
532424,GODREJCP,31-Jan-23
500449,HOCL,31-Jan-23
506945,IGLFXPL-B,31-Jan-23
530259,INTSTOIL,31-Jan-23
530965,IOC,31-Jan-23
532286,JINDALSTEL,31-Jan-23
532642,JSWHL,31-Jan-23
523207,KOKUYOCMLN,31-Jan-23
532829,LEHAR,31-Jan-23
517449,MAGNAELQ,31-Jan-23
523754,MAHEPC,31-Jan-23
543425,MAPMYINDIA,31-Jan-23
500271,MFSL,31-Jan-23
524709,NACLIND,31-Jan-23
531272,NIKKIGL,31-Jan-23
500189,NXTDIGITAL,31-Jan-23
543530,PARADEEP,31-Jan-23
506590,PCBL,31-Jan-23
500459,PGHH,31-Jan-23
526833,RACCL,31-Jan-23
532503,RAJPALAYAM,31-Jan-23
511672,SCANSTL,31-Jan-23
543625,SECURCRED,31-Jan-23
513498,SOUTHMG,31-Jan-23
542759,SPANDANA,31-Jan-23
543412,STARHEALTH,31-Jan-23
524715,SUNPHARMA,31-Jan-23
507785,TAINWALCHM,31-Jan-23
524204,TEEAI,31-Jan-23
543413,TEGA,31-Jan-23
517506,TTKPRESTIG,31-Jan-23
512070,UPL,31-Jan-23
530579,UYFINCORP,31-Jan-23
505533,WESTLIFE,31-Jan-23
533573,APLLTD,01-Feb-23
513729,AROGRANITE,01-Feb-23
500477,ASHOKLEY,01-Feb-23
532700,ENIL,01-Feb-23
507815,GILLETTE,01-Feb-23
513599,HINDCOPPER,01-Feb-23
500262,HYBRIDFIN,01-Feb-23
