Scrip,Market Cap,Current Price,High / Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,[Sales][Mar2015],[Sales][Mar2016],[Sales][Mar2017],[Sales][Mar2018],[Sales][Mar2019],[Sales][Mar2020],[Sales][Mar2021],[Sales][Mar2022],[Sales][Mar2023],[Sales][TTM],[Interest][Mar2015],[Interest][Mar2016],[Interest][Mar2017],[Interest][Mar2018],[Interest][Mar2019],[Interest][Mar2020],[Interest][Mar2021],[Interest][Mar2022],[Interest][Mar2023],[Interest][TTM],[Expenses][Mar2015],[Expenses][Mar2016],[Expenses][Mar2017],[Expenses][Mar2018],[Expenses][Mar2019],[Expenses][Mar2020],[Expenses][Mar2021],[Expenses][Mar2022],[Expenses][Mar2023],[Expenses][TTM],[OperatingProfit][Mar2015],[OperatingProfit][Mar2016],[OperatingProfit][Mar2017],[OperatingProfit][Mar2018],[OperatingProfit][Mar2019],[OperatingProfit][Mar2020],[OperatingProfit][Mar2021],[OperatingProfit][Mar2022],[OperatingProfit][Mar2023],[OperatingProfit][TTM],[OPM][Mar2015],[OPM][Mar2016],[OPM][Mar2017],[OPM][Mar2018],[OPM][Mar2019],[OPM][Mar2020],[OPM][Mar2021],[OPM][Mar2022],[OPM][Mar2023],[OPM][TTM],[OtherIncome][Mar2015],[OtherIncome][Mar2016],[OtherIncome][Mar2017],[OtherIncome][Mar2018],[OtherIncome][Mar2019],[OtherIncome][Mar2020],[OtherIncome][Mar2021],[OtherIncome][Mar2022],[OtherIncome][Mar2023],[OtherIncome][TTM],[Depreciation][Mar2015],[Depreciation][Mar2016],[Depreciation][Mar2017],[Depreciation][Mar2018],[Depreciation][Mar2019],[Depreciation][Mar2020],[Depreciation][Mar2021],[Depreciation][Mar2022],[Depreciation][Mar2023],[Depreciation][TTM],[Profitbeforetax][Mar2015],[Profitbeforetax][Mar2016],[Profitbeforetax][Mar2017],[Profitbeforetax][Mar2018],[Profitbeforetax][Mar2019],[Profitbeforetax][Mar2020],[Profitbeforetax][Mar2021],[Profitbeforetax][Mar2022],[Profitbeforetax][Mar2023],[Profitbeforetax][TTM],[Tax][Mar2015],[Tax][Mar2016],[Tax][Mar2017],[Tax][Mar2018],[Tax][Mar2019],[Tax][Mar2020],[Tax][Mar2021],[Tax][Mar2022],[Tax][Mar2023],[Tax][TTM],[NetProfit][Mar2015],[NetProfit][Mar2016],[NetProfit][Mar2017],[NetProfit][Mar2018],[NetProfit][Mar2019],[NetProfit][Mar2020],[NetProfit][Mar2021],[NetProfit][Mar2022],[NetProfit][Mar2023],[NetProfit][TTM],[EPSinRs][Mar2015],[EPSinRs][Mar2016],[EPSinRs][Mar2017],[EPSinRs][Mar2018],[EPSinRs][Mar2019],[EPSinRs][Mar2020],[EPSinRs][Mar2021],[EPSinRs][Mar2022],[EPSinRs][Mar2023],[EPSinRs][TTM],[DividendPayout][Mar2015],[DividendPayout][Mar2016],[DividendPayout][Mar2017],[DividendPayout][Mar2018],[DividendPayout][Mar2019],[DividendPayout][Mar2020],[DividendPayout][Mar2021],[DividendPayout][Mar2022],[DividendPayout][Mar2023],[DividendPayout][TTM],[Sales][Qtr][Sep2020],[Sales][Qtr][Dec2020],[Sales][Qtr][Mar2021],[Sales][Qtr][Jun2021],[Sales][Qtr][Sep2021],[Sales][Qtr][Dec2021],[Sales][Qtr][Mar2022],[Sales][Qtr][Jun2022],[Sales][Qtr][Sep2022],[Sales][Qtr][Dec2022],[Sales][Qtr][Mar2023],[Sales][Qtr][Jun2023],[Sales][Qtr][Sep2023],[Interest][Qtr][Sep2020],[Interest][Qtr][Dec2020],[Interest][Qtr][Mar2021],[Interest][Qtr][Jun2021],[Interest][Qtr][Sep2021],[Interest][Qtr][Dec2021],[Interest][Qtr][Mar2022],[Interest][Qtr][Jun2022],[Interest][Qtr][Sep2022],[Interest][Qtr][Dec2022],[Interest][Qtr][Mar2023],[Interest][Qtr][Jun2023],[Interest][Qtr][Sep2023],[Expenses][Qtr][Sep2020],[Expenses][Qtr][Dec2020],[Expenses][Qtr][Mar2021],[Expenses][Qtr][Jun2021],[Expenses][Qtr][Sep2021],[Expenses][Qtr][Dec2021],[Expenses][Qtr][Mar2022],[Expenses][Qtr][Jun2022],[Expenses][Qtr][Sep2022],[Expenses][Qtr][Dec2022],[Expenses][Qtr][Mar2023],[Expenses][Qtr][Jun2023],[Expenses][Qtr][Sep2023],[OperatingProfit][Qtr][Sep2020],[OperatingProfit][Qtr][Dec2020],[OperatingProfit][Qtr][Mar2021],[OperatingProfit][Qtr][Jun2021],[OperatingProfit][Qtr][Sep2021],[OperatingProfit][Qtr][Dec2021],[OperatingProfit][Qtr][Mar2022],[OperatingProfit][Qtr][Jun2022],[OperatingProfit][Qtr][Sep2022],[OperatingProfit][Qtr][Dec2022],[OperatingProfit][Qtr][Mar2023],[OperatingProfit][Qtr][Jun2023],[OperatingProfit][Qtr][Sep2023],[OPM][Qtr][Sep2020],[OPM][Qtr][Dec2020],[OPM][Qtr][Mar2021],[OPM][Qtr][Jun2021],[OPM][Qtr][Sep2021],[OPM][Qtr][Dec2021],[OPM][Qtr][Mar2022],[OPM][Qtr][Jun2022],[OPM][Qtr][Sep2022],[OPM][Qtr][Dec2022],[OPM][Qtr][Mar2023],[OPM][Qtr][Jun2023],[OPM][Qtr][Sep2023],[OtherIncome][Qtr][Sep2020],[OtherIncome][Qtr][Dec2020],[OtherIncome][Qtr][Mar2021],[OtherIncome][Qtr][Jun2021],[OtherIncome][Qtr][Sep2021],[OtherIncome][Qtr][Dec2021],[OtherIncome][Qtr][Mar2022],[OtherIncome][Qtr][Jun2022],[OtherIncome][Qtr][Sep2022],[OtherIncome][Qtr][Dec2022],[OtherIncome][Qtr][Mar2023],[OtherIncome][Qtr][Jun2023],[OtherIncome][Qtr][Sep2023],[Depreciation][Qtr][Sep2020],[Depreciation][Qtr][Dec2020],[Depreciation][Qtr][Mar2021],[Depreciation][Qtr][Jun2021],[Depreciation][Qtr][Sep2021],[Depreciation][Qtr][Dec2021],[Depreciation][Qtr][Mar2022],[Depreciation][Qtr][Jun2022],[Depreciation][Qtr][Sep2022],[Depreciation][Qtr][Dec2022],[Depreciation][Qtr][Mar2023],[Depreciation][Qtr][Jun2023],[Depreciation][Qtr][Sep2023],[Profitbeforetax][Qtr][Sep2020],[Profitbeforetax][Qtr][Dec2020],[Profitbeforetax][Qtr][Mar2021],[Profitbeforetax][Qtr][Jun2021],[Profitbeforetax][Qtr][Sep2021],[Profitbeforetax][Qtr][Dec2021],[Profitbeforetax][Qtr][Mar2022],[Profitbeforetax][Qtr][Jun2022],[Profitbeforetax][Qtr][Sep2022],[Profitbeforetax][Qtr][Dec2022],[Profitbeforetax][Qtr][Mar2023],[Profitbeforetax][Qtr][Jun2023],[Profitbeforetax][Qtr][Sep2023],[Tax][Qtr][Sep2020],[Tax][Qtr][Dec2020],[Tax][Qtr][Mar2021],[Tax][Qtr][Jun2021],[Tax][Qtr][Sep2021],[Tax][Qtr][Dec2021],[Tax][Qtr][Mar2022],[Tax][Qtr][Jun2022],[Tax][Qtr][Sep2022],[Tax][Qtr][Dec2022],[Tax][Qtr][Mar2023],[Tax][Qtr][Jun2023],[Tax][Qtr][Sep2023],[NetProfit][Qtr][Sep2020],[NetProfit][Qtr][Dec2020],[NetProfit][Qtr][Mar2021],[NetProfit][Qtr][Jun2021],[NetProfit][Qtr][Sep2021],[NetProfit][Qtr][Dec2021],[NetProfit][Qtr][Mar2022],[NetProfit][Qtr][Jun2022],[NetProfit][Qtr][Sep2022],[NetProfit][Qtr][Dec2022],[NetProfit][Qtr][Mar2023],[NetProfit][Qtr][Jun2023],[NetProfit][Qtr][Sep2023],[EPSinRs][Qtr][Sep2020],[EPSinRs][Qtr][Dec2020],[EPSinRs][Qtr][Mar2021],[EPSinRs][Qtr][Jun2021],[EPSinRs][Qtr][Sep2021],[EPSinRs][Qtr][Dec2021],[EPSinRs][Qtr][Mar2022],[EPSinRs][Qtr][Jun2022],[EPSinRs][Qtr][Sep2022],[EPSinRs][Qtr][Dec2022],[EPSinRs][Qtr][Mar2023],[EPSinRs][Qtr][Jun2023],[EPSinRs][Qtr][Sep2023],[GrossNPA][Qtr][Sep2020],[GrossNPA][Qtr][Dec2020],[GrossNPA][Qtr][Mar2021],[GrossNPA][Qtr][Jun2021],[GrossNPA][Qtr][Sep2021],[GrossNPA][Qtr][Dec2021],[GrossNPA][Qtr][Mar2022],[GrossNPA][Qtr][Jun2022],[GrossNPA][Qtr][Sep2022],[GrossNPA][Qtr][Dec2022],[GrossNPA][Qtr][Mar2023],[GrossNPA][Qtr][Jun2023],[GrossNPA][Qtr][Sep2023],[NetNPA][Qtr][Sep2020],[NetNPA][Qtr][Dec2020],[NetNPA][Qtr][Mar2021],[NetNPA][Qtr][Jun2021],[NetNPA][Qtr][Sep2021],[NetNPA][Qtr][Dec2021],[NetNPA][Qtr][Mar2022],[NetNPA][Qtr][Jun2022],[NetNPA][Qtr][Sep2022],[NetNPA][Qtr][Dec2022],[NetNPA][Qtr][Mar2023],[NetNPA][Qtr][Jun2023],[NetNPA][Qtr][Sep2023],[RawPDF][Qtr][Sep2020],[RawPDF][Qtr][Dec2020],[RawPDF][Qtr][Mar2021],[RawPDF][Qtr][Jun2021],[RawPDF][Qtr][Sep2021],[RawPDF][Qtr][Dec2021],[RawPDF][Qtr][Mar2022],[RawPDF][Qtr][Jun2022],[RawPDF][Qtr][Sep2022],[RawPDF][Qtr][Dec2022],[RawPDF][Qtr][Mar2023],[RawPDF][Qtr][Jun2023],[RawPDF][Qtr][Sep2023],[Compounded Sales Growth][10 Years]%,[Compounded Sales Growth][5 Years]%,[Compounded Sales Growth][3 Years]%,[Compounded Sales Growth][TTM]%,[Compounded Profit Growth][10 Years]%,[Compounded Profit Growth][5 Years]%,[Compounded Profit Growth][3 Years]%,[Compounded Profit Growth][TTM]%,[Stock Price CAGR][10 Years]%,[Stock Price CAGR][5 Years]%,[Stock Price CAGR][3 Years]%,[Stock Price CAGR][1 Year]%,[Return on Equity][10 Years]%,[Return on Equity][5 Years]%,[Return on Equity][3 Years]%,[Return on Equity][Last Year]%,[ROE][Mar2015],[ROE][Mar2016],[ROE][Mar2017],[ROE][Mar2018],[ROE][Mar2019],[ROE][Mar2020],[ROE][Mar2021],[ROE][Mar2022],[ROE][Mar2023],[Promoters][Mar2021],[Promoters][Jun2021],[Promoters][Sep2021],[Promoters][Dec2021],[Promoters][Mar2022],[Promoters][Jun2022],[Promoters][Sep2022],[Promoters][Dec2022],[Promoters][Mar2023],[Promoters][Jun2023],[Promoters][Sep2023],[Promoters][Dec2023],[FIIs][Mar2021],[FIIs][Jun2021],[FIIs][Sep2021],[FIIs][Dec2021],[FIIs][Mar2022],[FIIs][Jun2022],[FIIs][Sep2022],[FIIs][Dec2022],[FIIs][Mar2023],[FIIs][Jun2023],[FIIs][Sep2023],[FIIs][Dec2023],[DIIs][Mar2021],[DIIs][Jun2021],[DIIs][Sep2021],[DIIs][Dec2021],[DIIs][Mar2022],[DIIs][Jun2022],[DIIs][Sep2022],[DIIs][Dec2022],[DIIs][Mar2023],[DIIs][Jun2023],[DIIs][Sep2023],[DIIs][Dec2023],[Government][Mar2021],[Government][Jun2021],[Government][Sep2021],[Government][Dec2021],[Government][Mar2022],[Government][Jun2022],[Government][Sep2022],[Government][Dec2022],[Government][Mar2023],[Government][Jun2023],[Government][Sep2023],[Government][Dec2023],[Public][Mar2021],[Public][Jun2021],[Public][Sep2021],[Public][Dec2021],[Public][Mar2022],[Public][Jun2022],[Public][Sep2022],[Public][Dec2022],[Public][Mar2023],[Public][Jun2023],[Public][Sep2023],[Public][Dec2023],[Others][Mar2021],[Others][Jun2021],[Others][Sep2021],[Others][Dec2021],[Others][Mar2022],[Others][Jun2022],[Others][Sep2022],[Others][Dec2022],[Others][Mar2023],[Others][Jun2023],[Others][Sep2023],[Others][Dec2023],[NoofShareholders][Mar2021],[NoofShareholders][Jun2021],[NoofShareholders][Sep2021],[NoofShareholders][Dec2021],[NoofShareholders][Mar2022],[NoofShareholders][Jun2022],[NoofShareholders][Sep2022],[NoofShareholders][Dec2022],[NoofShareholders][Mar2023],[NoofShareholders][Jun2023],[NoofShareholders][Sep2023],[NoofShareholders][Dec2023],[Sales][Mar2012],[Sales][Mar2013],[Sales][Mar2014],[Expenses][Mar2012],[Expenses][Mar2013],[Expenses][Mar2014],[OperatingProfit][Mar2012],[OperatingProfit][Mar2013],[OperatingProfit][Mar2014],[OPM][Mar2012],[OPM][Mar2013],[OPM][Mar2014],[OtherIncome][Mar2012],[OtherIncome][Mar2013],[OtherIncome][Mar2014],[Interest][Mar2012],[Interest][Mar2013],[Interest][Mar2014],[Depreciation][Mar2012],[Depreciation][Mar2013],[Depreciation][Mar2014],[Profitbeforetax][Mar2012],[Profitbeforetax][Mar2013],[Profitbeforetax][Mar2014],[Tax][Mar2012],[Tax][Mar2013],[Tax][Mar2014],[NetProfit][Mar2012],[NetProfit][Mar2013],[NetProfit][Mar2014],[EPSinRs][Mar2012],[EPSinRs][Mar2013],[EPSinRs][Mar2014],[DividendPayout][Mar2012],[DividendPayout][Mar2013],[DividendPayout][Mar2014],[Sales][Qtr][Dec2023],[Expenses][Qtr][Dec2023],[OperatingProfit][Qtr][Dec2023],[OPM][Qtr][Dec2023],[OtherIncome][Qtr][Dec2023],[Interest][Qtr][Dec2023],[Depreciation][Qtr][Dec2023],[Profitbeforetax][Qtr][Dec2023],[Tax][Qtr][Dec2023],[NetProfit][Qtr][Dec2023],[EPSinRs][Qtr][Dec2023],[RawPDF][Qtr][Dec2023],[DebtorDays][Mar2012],[DebtorDays][Mar2013],[DebtorDays][Mar2014],[DebtorDays][Mar2015],[DebtorDays][Mar2016],[DebtorDays][Mar2017],[DebtorDays][Mar2018],[DebtorDays][Mar2019],[DebtorDays][Mar2020],[DebtorDays][Mar2021],[DebtorDays][Mar2022],[DebtorDays][Mar2023],[InventoryDays][Mar2012],[InventoryDays][Mar2013],[InventoryDays][Mar2014],[InventoryDays][Mar2015],[InventoryDays][Mar2016],[InventoryDays][Mar2017],[InventoryDays][Mar2018],[InventoryDays][Mar2019],[InventoryDays][Mar2020],[InventoryDays][Mar2021],[InventoryDays][Mar2022],[InventoryDays][Mar2023],[DaysPayable][Mar2012],[DaysPayable][Mar2013],[DaysPayable][Mar2014],[DaysPayable][Mar2015],[DaysPayable][Mar2016],[DaysPayable][Mar2017],[DaysPayable][Mar2018],[DaysPayable][Mar2019],[DaysPayable][Mar2020],[DaysPayable][Mar2021],[DaysPayable][Mar2022],[DaysPayable][Mar2023],[CashConversionCycle][Mar2012],[CashConversionCycle][Mar2013],[CashConversionCycle][Mar2014],[CashConversionCycle][Mar2015],[CashConversionCycle][Mar2016],[CashConversionCycle][Mar2017],[CashConversionCycle][Mar2018],[CashConversionCycle][Mar2019],[CashConversionCycle][Mar2020],[CashConversionCycle][Mar2021],[CashConversionCycle][Mar2022],[CashConversionCycle][Mar2023],[WorkingCapitalDays][Mar2012],[WorkingCapitalDays][Mar2013],[WorkingCapitalDays][Mar2014],[WorkingCapitalDays][Mar2015],[WorkingCapitalDays][Mar2016],[WorkingCapitalDays][Mar2017],[WorkingCapitalDays][Mar2018],[WorkingCapitalDays][Mar2019],[WorkingCapitalDays][Mar2020],[WorkingCapitalDays][Mar2021],[WorkingCapitalDays][Mar2022],[WorkingCapitalDays][Mar2023],[ROCE][Mar2012],[ROCE][Mar2013],[ROCE][Mar2014],[ROCE][Mar2015],[ROCE][Mar2016],[ROCE][Mar2017],[ROCE][Mar2018],[ROCE][Mar2019],[ROCE][Mar2020],[ROCE][Mar2021],[ROCE][Mar2022],[ROCE][Mar2023],[Promoters][Dec2020],[FIIs][Dec2020],[DIIs][Dec2020],[Public][Dec2020],[NoofShareholders][Dec2020],[Sales][Qtr][Mar2019],[Sales][Qtr][Jun2019],[Sales][Qtr][Sep2019],[Sales][Qtr][Dec2019],[Sales][Qtr][Mar2020],[Sales][Qtr][Jun2020],[Expenses][Qtr][Mar2019],[Expenses][Qtr][Jun2019],[Expenses][Qtr][Sep2019],[Expenses][Qtr][Dec2019],[Expenses][Qtr][Mar2020],[Expenses][Qtr][Jun2020],[OperatingProfit][Qtr][Mar2019],[OperatingProfit][Qtr][Jun2019],[OperatingProfit][Qtr][Sep2019],[OperatingProfit][Qtr][Dec2019],[OperatingProfit][Qtr][Mar2020],[OperatingProfit][Qtr][Jun2020],[OPM][Qtr][Mar2019],[OPM][Qtr][Jun2019],[OPM][Qtr][Sep2019],[OPM][Qtr][Dec2019],[OPM][Qtr][Mar2020],[OPM][Qtr][Jun2020],[OtherIncome][Qtr][Mar2019],[OtherIncome][Qtr][Jun2019],[OtherIncome][Qtr][Sep2019],[OtherIncome][Qtr][Dec2019],[OtherIncome][Qtr][Mar2020],[OtherIncome][Qtr][Jun2020],[Interest][Qtr][Mar2019],[Interest][Qtr][Jun2019],[Interest][Qtr][Sep2019],[Interest][Qtr][Dec2019],[Interest][Qtr][Mar2020],[Interest][Qtr][Jun2020],[Depreciation][Qtr][Mar2019],[Depreciation][Qtr][Jun2019],[Depreciation][Qtr][Sep2019],[Depreciation][Qtr][Dec2019],[Depreciation][Qtr][Mar2020],[Depreciation][Qtr][Jun2020],[Profitbeforetax][Qtr][Mar2019],[Profitbeforetax][Qtr][Jun2019],[Profitbeforetax][Qtr][Sep2019],[Profitbeforetax][Qtr][Dec2019],[Profitbeforetax][Qtr][Mar2020],[Profitbeforetax][Qtr][Jun2020],[Tax][Qtr][Mar2019],[Tax][Qtr][Jun2019],[Tax][Qtr][Sep2019],[Tax][Qtr][Dec2019],[Tax][Qtr][Mar2020],[Tax][Qtr][Jun2020],[NetProfit][Qtr][Mar2019],[NetProfit][Qtr][Jun2019],[NetProfit][Qtr][Sep2019],[NetProfit][Qtr][Dec2019],[NetProfit][Qtr][Mar2020],[NetProfit][Qtr][Jun2020],[EPSinRs][Qtr][Mar2019],[EPSinRs][Qtr][Jun2019],[EPSinRs][Qtr][Sep2019],[EPSinRs][Qtr][Dec2019],[EPSinRs][Qtr][Mar2020],[EPSinRs][Qtr][Jun2020],[RawPDF][Qtr][Mar2019],[RawPDF][Qtr][Jun2019],[RawPDF][Qtr][Sep2019],[RawPDF][Qtr][Dec2019],[RawPDF][Qtr][Mar2020],[RawPDF][Qtr][Jun2020],[NoofShareholders][Nov2023],[DIIs][Nov2023],[Public][Nov2023],[Government][Dec2020],[Others][Nov2023],[Promoters][Nov2023],[FIIs][Nov2023],[Others][Dec2020],[Government][Nov2023]
BAJFINANCE,452337.0,7319.0,8192.0,34.5,988.0,0.41,11.8,23.5,2.0,5392.0,7299.0,9970.0,12746.0,18487.0,26374.0,26673.0,31641.0,41398.0,48023.0,2274.0,2959.0,3853.0,4696.0,6723.0,9608.0,9519.0,9855.0,12701.0,15582.0,1752.0,2354.0,3250.0,4115.0,5454.0,9159.0,10839.0,11880.0,12680.0,14308.0,1367.0,1986.0,2867.0,3935.0,6310.0,7608.0,6314.0,9906.0,16018.0,18133.0,0.25,0.27,0.29,0.31,0.34,0.29,0.24,0.31,0.39,0.38,26.0,35.0,22.0,10.0,13.0,9.0,3.0,-17.0,-4.0,16.0,36.0,56.0,71.0,102.0,144.0,295.0,325.0,385.0,485.0,568.0,1357.0,1965.0,2817.0,3843.0,6179.0,7322.0,5992.0,9504.0,15528.0,17582.0,0.34,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.28,0.26,0.26,0.26,,898.0,1279.0,1836.0,2496.0,3995.0,5264.0,4420.0,7028.0,11508.0,13118.0,17.9,23.74,33.4,43.19,69.12,87.48,73.35,116.09,190.07,216.59,0.1,0.1,0.11,0.09,0.09,0.11,0.14,0.17,0.16,,6513.0,6656.0,6851.0,6742.0,7731.0,8537.0,8626.0,9284.0,9970.0,10784.0,11363.0,12498.0,13378.0,2358.0,2363.0,2196.0,2254.0,2398.0,2535.0,2568.0,2645.0,2972.0,3351.0,3592.0,4103.0,4537.0,2785.0,2662.0,2747.0,3035.0,3236.0,3040.0,2691.0,3026.0,3129.0,3305.0,3381.0,3694.0,3929.0,1370.0,1632.0,1908.0,1454.0,2098.0,2962.0,3367.0,3613.0,3869.0,4129.0,4390.0,4702.0,4913.0,0.21,0.25,0.28,0.22,0.27,0.35000000000000003,0.39,0.39,0.39,0.38,0.39,0.38,0.37,7.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,5.0,6.0,4.0,72.0,80.0,90.0,89.0,95.0,97.0,104.0,111.0,121.0,119.0,134.0,156.0,159.0,1305.0,1555.0,1823.0,1366.0,2004.0,2868.0,3265.0,3503.0,3752.0,4012.0,4261.0,4551.0,4758.0,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.25,965.0,1146.0,1347.0,1002.0,1481.0,2125.0,2420.0,2596.0,2781.0,2973.0,3158.0,3437.0,3551.0,16.01,19.02,22.35,16.61,24.54,35.21,39.96,42.88,45.93,49.11,52.16,56.72,58.6,0.0103,0.0055000000000000005,0.0179,0.0296,0.0245,0.0173,0.016,0.0125,0.0117,0.011399999999999999,0.0094,0.0087,0.0091,0.0037,0.0019,0.0075,0.0146,0.011000000000000001,0.0078000000000000005,0.0068000000000000005,0.0051,0.0044,0.0040999999999999995,0.0034000000000000002,0.0031,0.0031,,,,,,,,,,,,,,,0.27,0.16,0.32,,0.36,0.3,0.32,0.47000000000000003,0.23,0.14,0.25,,0.19,0.19,0.23,,0.21,0.22,0.2,0.22,0.2,0.13,0.17,0.23,0.5612,0.5603,0.5603,0.5603,0.5586,0.5586,0.5586,0.5590999999999999,0.5590999999999999,0.5587,0.5587,0.5478000000000001,0.24059999999999998,0.2403,0.2364,0.2285,0.2141,0.1998,0.2049,0.19870000000000002,0.1916,0.2009,0.2041,0.20920000000000002,0.0908,0.09330000000000001,0.09730000000000001,0.1011,0.11220000000000001,0.12029999999999999,0.12090000000000001,0.12369999999999999,0.1292,0.1283,0.1305,0.1401,0.0,0.0,0.0,0.0,0.0,0.0,0.0007000000000000001,0.0007000000000000001,0.0007000000000000001,0.0007000000000000001,0.0007000000000000001,0.0007000000000000001,0.1057,0.10400000000000001,0.1042,0.1091,0.1115,0.1184,0.1126,0.11599999999999999,0.11750000000000001,0.1099,0.105,0.1017,0.0017000000000000001,0.0021,0.0017000000000000001,0.001,0.0036,0.0029,0.0022,0.0018,0.0017000000000000001,0.0013000000000000002,0.001,0.0005,464394.0,488763.0,525257.0,636931.0,718638.0,868271.0,767722.0,816292.0,890706.0,784883.0,726583.0,745040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726997.0,0.1365,0.1013,,0.0009,0.5478,0.2131,,0.0007
DMART,242834.0,3732.0,4206.0,99.8,268.0,0.0,20.1,16.0,10.0,6439.0,8584.0,11898.0,15033.0,20005.0,24870.0,24143.0,30976.0,42840.0,48656.0,72.0,91.0,122.0,60.0,47.0,69.0,42.0,54.0,67.0,60.0,5983.0,7919.0,10929.0,13680.0,18371.0,22742.0,22398.0,28474.0,39201.0,44725.0,456.0,664.0,969.0,1353.0,1633.0,2128.0,1745.0,2502.0,3639.0,3932.0,0.07,0.08,0.08,0.09,0.08,0.09,0.07,0.08,0.08,0.08,20.0,17.0,28.0,88.0,48.0,60.0,194.0,114.0,128.0,142.0,82.0,98.0,128.0,159.0,212.0,374.0,414.0,498.0,639.0,690.0,323.0,492.0,747.0,1222.0,1422.0,1745.0,1483.0,2064.0,3060.0,3323.0,0.34,0.35000000000000003,0.36,0.34,0.37,0.25,0.26,0.28,0.22,,212.0,320.0,479.0,806.0,902.0,1301.0,1099.0,1492.0,2378.0,2433.0,3.77,5.7,7.67,12.92,14.46,20.09,16.97,23.04,36.69,37.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7542.0,7412.0,5183.0,7789.0,9218.0,8786.0,10038.0,10638.0,11569.0,10594.0,11865.0,12624.0,,11.0,12.0,11.0,12.0,14.0,17.0,17.0,18.0,17.0,16.0,15.0,16.0,,6853.0,6799.0,4959.0,7120.0,8351.0,8047.0,9030.0,9746.0,10604.0,9823.0,10830.0,11619.0,,689.0,613.0,224.0,669.0,866.0,739.0,1008.0,892.0,965.0,772.0,1035.0,1005.0,,0.09,0.08,0.04,0.09,0.09,0.08,0.1,0.08,0.08,0.07,0.09,0.08,,45.0,48.0,31.0,28.0,26.0,33.0,29.0,36.0,32.0,33.0,39.0,37.0,,114.0,105.0,107.0,116.0,128.0,146.0,145.0,162.0,168.0,164.0,162.0,174.0,,609.0,544.0,137.0,568.0,750.0,609.0,875.0,748.0,812.0,625.0,897.0,852.0,,0.27,0.24,0.31,0.26,0.26,0.3,0.27,0.08,0.27,0.26,0.27,0.27,,447.0,414.0,95.0,418.0,553.0,427.0,643.0,686.0,590.0,460.0,659.0,623.0,,6.9,6.39,1.47,6.45,8.53,6.59,9.93,10.59,9.1,7.1,10.12,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.23,0.2,0.19,0.38,0.25,0.22,0.04,,0.23,0.11,0.06,0.14,0.14,0.13,0.16,,,,,,,,,,0.7499,0.7499,0.7499,0.7499,0.7499,0.7499,0.7498,0.7498,0.7493000000000001,0.7464000000000001,0.7464000000000001,0.7464000000000001,0.1017,0.10039999999999999,0.09949999999999999,0.0944,0.0883,0.0859,0.08720000000000001,0.08630000000000002,0.0817,0.0817,0.0767,0.0796,0.0658,0.0671,0.0678,0.0674,0.0677,0.0688,0.0704,0.07110000000000001,0.07490000000000001,0.0766,0.0825,0.08449999999999999,0.0,0.0,0.0,0.0,0.0,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0006,0.08259999999999999,0.08259999999999999,0.08289999999999999,0.0883,0.0942,0.09519999999999999,0.09230000000000001,0.09240000000000001,0.09369999999999999,0.0949,0.0941,0.08869999999999999,,,,,,,,,,,,,306995.0,345515.0,403133.0,594561.0,742493.0,793537.0,747199.0,763438.0,835850.0,813245.0,815562.0,740037.0,2209.0,3341.0,4686.0,2071.0,3126.0,4345.0,138.0,215.0,341.0,0.06,0.06,0.07,14.0,15.0,16.0,26.0,43.0,56.0,37.0,46.0,57.0,89.0,141.0,245.0,0.32,0.34,0.34,60.0,94.0,161.0,1.13,1.73,2.95,0.0,0.0,0.0,13572.0,12453.0,1120.0,0.08,33.0,15.0,189.0,949.0,0.27,690.0,10.61,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,38.0,35.0,35.0,36.0,34.0,34.0,34.0,35.0,34.0,40.0,38.0,33.0,12.0,12.0,11.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,26.0,25.0,24.0,28.0,24.0,26.0,25.0,26.0,26.0,30.0,31.0,26.0,19.0,19.0,20.0,22.0,11.0,9.0,16.0,17.0,23.0,24.0,24.0,22.0,,0.15,0.21,0.21,0.24,0.21,0.24,0.26,0.2,0.13,0.16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
